"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"Town of Prescott Valley, dba: YavaLine Regional Transit System","Prescott Valley","AZ","90307","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","72112","Prescott--Prescott Valley, AZ","92427","6","Funds Expended on Operations","0",,"0",,"0",,"0",,"835748",,"835748",
"City of Casa Grande, dba: Casa Grande LINK","Casa Grande","AZ","90309","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14401","Casa Grande, AZ","50981","3","Funds Expended on Operations","2039",,"0",,"0",,"0",,"573272",,"575311",
"City of Casa Grande, dba: Casa Grande LINK","Casa Grande","AZ","90309","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14401","Casa Grande, AZ","50981","3","Funds Expended on Capital","0",,"0",,"0",,"0",,"17096",,"17096",
"Tulare County Regional Transit Agency","Visalia","CA","90310","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","90946","Visalia, CA","160578","45","Funds Expended on Operations","1019052",,"0",,"5480075",,"5314072",,"7804013",,"19617212",
"Tulare County Regional Transit Agency","Visalia","CA","90310","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","90946","Visalia, CA","160578","45","Funds Expended on Capital","0",,"0",,"284728",,"0",,"681875",,"966603",
"Stanislaus Council of Governments, dba: StanisCruise","Modesto","CA","90311","MPO, COG or Other Planning Agency","Full Reporter","2024","58006","Modesto, CA","357301","100","Funds Expended on Operations","2044326",,"0",,"0",,"340450",,"410300",,"2795076",
"Stanislaus Council of Governments, dba: StanisCruise","Modesto","CA","90311","MPO, COG or Other Planning Agency","Full Reporter","2024","58006","Modesto, CA","357301","100","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Sacramento Area Council of Governments","Sacramento","CA","90312","MPO, COG or Other Planning Agency","Planning Reporter","2024","77068","Sacramento, CA","1946618",,"Funds Expended on Operations","0",,"0",,"116418",,"105940",,"9305316",,"9527674",
"Sacramento Area Council of Governments","Sacramento","CA","90312","MPO, COG or Other Planning Agency","Planning Reporter","2024","77068","Sacramento, CA","1946618",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Clovis, dba: Clovis Transit","Clovis","CA","90313","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","31843","Fresno, CA","717589","35","Funds Expended on Operations","283717",,"0",,"2465154",,"5951301",,"0",,"8700172",
"City of Clovis, dba: Clovis Transit","Clovis","CA","90313","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","31843","Fresno, CA","717589","35","Funds Expended on Capital","0",,"0",,"299985",,"2247456",,"0",,"2547441",
"Attentive Transportation LLC","Sacramento","CA","90314","Private-For-Profit Corporation","Reduced Reporter","2024","77068","Sacramento, CA","1946618","1","Funds Expended on Operations","12232",,"0",,"0",,"0",,"0",,"12232",
"Attentive Transportation LLC","Sacramento","CA","90314","Private-For-Profit Corporation","Reduced Reporter","2024","77068","Sacramento, CA","1946618","1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Avondale, dba: WeRIDE","Avondale","AZ","90315","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","69192","Phoenix West--Goodyear--Avondale, AZ","419946","13","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Avondale, dba: WeRIDE","Avondale","AZ","90315","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","69192","Phoenix West--Goodyear--Avondale, AZ","419946","13","Funds Expended on Operations","73197",,"0",,"1487241",,"0",,"500000",,"2060438",
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System","Tamuning","GU","90999","State Government Unit or Department of Transportation","Reduced Reporter","2024","22811","Dededo--Apotgan--Tamuning, GU","128164","15","Funds Expended on Operations","101569",,"0",,"2769208",,"0",,"0",,"2870777",
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System","Tamuning","GU","90999","State Government Unit or Department of Transportation","Reduced Reporter","2024","22811","Dededo--Apotgan--Tamuning, GU","128164","15","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Amador Transit","Jackson","CA","91000","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","Funds Expended on Capital","0",,"0",,"0",,"78199",,"0",,"78199",
"Amador Transit","Jackson","CA","91000","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","Funds Expended on Operations","162496",,"0",,"721017",,"596227",,"795483",,"2275223",
"City of Show Low, dba: Four Seasons Connection","Show Low","AZ","91001","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Show Low, dba: Four Seasons Connection","Show Low","AZ","91001","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","44561",,"0",,"376541",,"0",,"592535",,"1013637",
"City of Corcoran, dba: Corcoran Area Transit","Corcoran","CA","91002","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","49346",,"0",,"0",,"619499",,"168809",,"837654",
"City of Corcoran, dba: Corcoran Area Transit","Corcoran","CA","91002","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Port of Administration Authority","Pago Pago","AS","91004","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Port of Administration Authority","Pago Pago","AS","91004","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Operations","312983",,"0",,"312983",,"0",,"0",,"625966",
"Madera County, dba: Madera County Connection","Madera","CA","91005","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","52984","Madera, CA","81635","9","Funds Expended on Capital","0",,"0",,"0",,"463156",,"0",,"463156",
"Madera County, dba: Madera County Connection","Madera","CA","91005","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","52984","Madera, CA","81635","9","Funds Expended on Operations","63467",,"0",,"0",,"675693",,"1199569",,"1938729",
"City of Ridgecrest, dba: Ridgerunner","Ridgecrest","CA","91006","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","39847",,"0",,"363995",,"797393",,"208375",,"1409610",
"City of Ridgecrest, dba: Ridgerunner","Ridgecrest","CA","91006","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"0",,"174395",,"812152",,"986547",
"Fresno County Rural Transit Agency","Fresno","CA","91007","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"65","Funds Expended on Capital","0",,"0",,"6114492",,"300000",,"4358356",,"10772848",
"Fresno County Rural Transit Agency","Fresno","CA","91007","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"65","Funds Expended on Operations","171226",,"0",,"4658293",,"311990",,"3017640",,"8159149",
"Modoc Transportation Agency, dba: Sage Stage","Alturas","CA","91008","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"148422",,"0",,"0",,"148422",
"Modoc Transportation Agency, dba: Sage Stage","Alturas","CA","91008","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"3","Funds Expended on Operations","52618",,"0",,"167138",,"0",,"358943",,"578699",
"San Benito County Local Transportation Authority, dba: San Benito County Express","Hollister","CA","91009","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"19","Funds Expended on Operations","131986",,"0",,"381737",,"959029",,"1185418",,"2658170",
"San Benito County Local Transportation Authority, dba: San Benito County Express","Hollister","CA","91009","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"19","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Cottonwood, dba: Cottonwood Area Transit","Cottonwood","AZ","91010","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Cottonwood, dba: Cottonwood Area Transit","Cottonwood","AZ","91010","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Operations","183583",,"0",,"955874",,"0",,"1731374",,"2870831",
"Mountain Area Regional Transit Authority, dba: Mountain Transit","Big Bear Lake","CA","91012","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32","Funds Expended on Capital","0",,"0",,"0",,"691430",,"560000",,"1251430",
"Mountain Area Regional Transit Authority, dba: Mountain Transit","Big Bear Lake","CA","91012","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32","Funds Expended on Operations","1732958",,"0",,"3182915",,"0",,"1923152",,"6839025",
"City of Rio Vista, dba: Rio Vista Delta Breeze","Rio Vista","CA","91014","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","13058",,"0",,"136714",,"0",,"450000",,"599772",
"City of Rio Vista, dba: Rio Vista Delta Breeze","Rio Vista","CA","91014","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Helping Hands Agency, Inc., dba: Express Public Transportation","Page","AZ","91016","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Helping Hands Agency, Inc., dba: Express Public Transportation","Page","AZ","91016","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","8379",,"0",,"262557",,"0",,"515667",,"786603",
"City of Arcata, dba: Arcata & Mad River Transit System","Arcata","CA","91018","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Arcata, dba: Arcata & Mad River Transit System","Arcata","CA","91018","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Operations","406029",,"0",,"692233",,"375588",,"0",,"1473850",
"City of Needles, dba: Needles Area Transit","Needles","CA","91020","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Operations","33323",,"0",,"377919",,"8554",,"53315",,"473111",
"City of Needles, dba: Needles Area Transit","Needles","CA","91020","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Capital","0",,"0",,"0",,"295243",,"0",,"295243",
"Lincoln County","Pioche","NV","91022","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Lincoln County","Pioche","NV","91022","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","1985",,"0",,"12302",,"0",,"38926",,"53213",
"Humboldt County, dba: Senior Citizens of Humboldt County, Inc","Winnemucca","NV","91023","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","2977",,"0",,"80105",,"0",,"197495",,"280577",
"Humboldt County, dba: Senior Citizens of Humboldt County, Inc","Winnemucca","NV","91023","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"32268",,"0",,"182849",,"215117",
"City of Arvin, dba: Arvin Transit","Arvin","CA","91027","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","53587",,"0",,"7940",,"836894",,"155019",,"1053440",
"City of Arvin, dba: Arvin Transit","Arvin","CA","91027","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Solvang, dba: Santa Ynez Valley Transit","Solvang","CA","91028","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Solvang, dba: Santa Ynez Valley Transit","Solvang","CA","91028","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","121949",,"0",,"20053",,"634594",,"285417",,"1062013",
"Nye County","Tonopah","NV","91029","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Nye County","Tonopah","NV","91029","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Operations","766",,"0",,"37353",,"0",,"74961",,"113080",
"City of Auburn, dba: Auburn Transit","Auburn","CA","91032","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","67447",,"0",,"755070",,"149459",,"80062",,"1052038",
"City of Auburn, dba: Auburn Transit","Auburn","CA","91032","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"16367",,"0",,"16367",
"Trinity County, dba: Trinity Transit","Weaverville","CA","91035","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"196504",,"0",,"0",,"196504",
"Trinity County, dba: Trinity Transit","Weaverville","CA","91035","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","40042",,"0",,"12797",,"0",,"637603",,"690442",
"Humboldt Transit Authority","Eureka","CA","91036","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"22","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Humboldt Transit Authority","Eureka","CA","91036","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"22","Funds Expended on Operations","1958873",,"0",,"2982417",,"1080503",,"1061410",,"7083203",
"City of Bullhead, dba: Bullhead Area Transit System","Bullhead City","AZ","91037","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","11431","Bullhead City, AZ--NV","54396","13","Funds Expended on Operations","137286",,"0",,"420338",,"0",,"836149",,"1393773",
"City of Bullhead, dba: Bullhead Area Transit System","Bullhead City","AZ","91037","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","11431","Bullhead City, AZ--NV","54396","13","Funds Expended on Capital","0",,"0",,"75422",,"0",,"126030",,"201452",
"Sierra County, dba: Sierra County Transportation Commission","Downieville","CA","91038","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Sierra County, dba: Sierra County Transportation Commission","Downieville","CA","91038","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","20828",,"0",,"9869",,"0",,"140131",,"170828",
"City of Dixon, dba: Readi-Ride","Dixon","CA","91041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Dixon, dba: Readi-Ride","Dixon","CA","91041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","Funds Expended on Operations","94927",,"0",,"0",,"208664",,"787388",,"1090979",
"City of Guadalupe","Guadalupe","CA","91043","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Operations","59630",,"0",,"508274",,"122523",,"100130",,"790557",
"City of Guadalupe","Guadalupe","CA","91043","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Northern Marianas - Commonwealth Office of Transit Authority","Saipan","MP","91045","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"0",,"0",,"1899900",,"1899900",
"Northern Marianas - Commonwealth Office of Transit Authority","Saipan","MP","91045","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Operations","110944",,"0",,"0",,"0",,"3441690",,"3552634",
"Mendocino Transit Authority","Ukiah","CA","91047","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","Funds Expended on Capital","0",,"0",,"0",,"0",,"768695",,"768695",
"Mendocino Transit Authority","Ukiah","CA","91047","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","Funds Expended on Operations","647349",,"0",,"3615250",,"1443571",,"680793",,"6386963",
"County of Siskiyou, dba: Siskiyou County Transit","Yreka","CA","91048","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","135722",,"0",,"1000000",,"530185",,"374228",,"2040135",
"County of Siskiyou, dba: Siskiyou County Transit","Yreka","CA","91048","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"75000",,"0",,"75703",,"150703",
"City of Douglas","Douglas","AZ","91052","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Douglas","Douglas","AZ","91052","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Operations","29521",,"0",,"123984",,"0",,"294568",,"448073",
"Lake Transit Authority","Lower Lake","CA","91053","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"26","Funds Expended on Capital","0",,"0",,"113292",,"99707",,"910089",,"1123088",
"Lake Transit Authority","Lower Lake","CA","91053","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"26","Funds Expended on Operations","365999",,"0",,"863889",,"868546",,"1620558",,"3718992",
"Tuolumne County Transit Agency","Sonora","CA","91057","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","Funds Expended on Operations","59172",,"0",,"1439991",,"283011",,"779860",,"2562034",
"Tuolumne County Transit Agency","Sonora","CA","91057","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Ojai, dba: Ojai Trolley","Ojai","CA","91058","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","66673","Oxnard--San Buenaventura (Ventura), CA","376117","2","Funds Expended on Operations","87599",,"0",,"430834",,"0",,"450624",,"969057",
"City of Ojai, dba: Ojai Trolley","Ojai","CA","91058","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","66673","Oxnard--San Buenaventura (Ventura), CA","376117","2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"County of Kern, dba: Kern Regional Transit","Bakersfield","CA","91059","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04681","Bakersfield, CA","570235","40","Funds Expended on Operations","273698",,"0",,"184249",,"5878843",,"3495613",,"9832403",
"County of Kern, dba: Kern Regional Transit","Bakersfield","CA","91059","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04681","Bakersfield, CA","570235","40","Funds Expended on Capital","176885",,"0",,"0",,"1653173",,"567964",,"2398022",
"Elko County, dba: GET My Ride","Elko","NV","91061","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","Funds Expended on Operations","17953",,"0",,"269397",,"0",,"653538",,"940888",
"Elko County, dba: GET My Ride","Elko","NV","91061","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","Funds Expended on Capital","0",,"0",,"24483",,"0",,"0",,"24483",
"Eastern Sierra Transit Authority","Bishop","CA","91062","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"37","Funds Expended on Capital","0",,"0",,"18294",,"690636",,"897870",,"1606800",
"Eastern Sierra Transit Authority","Bishop","CA","91062","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"37","Funds Expended on Operations","2451277",,"0",,"1075074",,"2854517",,"758322",,"7139190",
"Douglas County, dba: Douglas Area Rural Transit","Minden","NV","91064","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","Funds Expended on Operations","2867",,"0",,"262107",,"0",,"541206",,"806180",
"Douglas County, dba: Douglas Area Rural Transit","Minden","NV","91064","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Taft, dba: Taft Area Transit","Taft","CA","91066","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Taft, dba: Taft Area Transit","Taft","CA","91066","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Operations","52386",,"0",,"323362",,"0",,"50292",,"426040",
"Town of Miami, dba: Copper Mountain Transit","Miami","AZ","91069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Town of Miami, dba: Copper Mountain Transit","Miami","AZ","91069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","21546",,"0",,"167224",,"0",,"284828",,"473598",
"Yosemite Area Regional Transportation System","Merced","CA","91070","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Operations","1039642",,"0",,"729618",,"131516",,"2315162",,"4215938",
"Yosemite Area Regional Transportation System","Merced","CA","91070","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Capital","0",,"0",,"728757",,"0",,"8222997",,"8951754",
"City of Chowchilla, dba: Chowchilla Area Transit Express","Chowchilla","CA","91071","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"12800",,"0",,"12800",
"City of Chowchilla, dba: Chowchilla Area Transit Express","Chowchilla","CA","91071","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","24211",,"0",,"341",,"418722",,"92579",,"535853",
"Southern Nevada Transit Coalition, dba: SNTC - Laughlin","Laughlin","NV","91072","Private-Non-Profit Corporation","Reduced Reporter","2024","11431","Bullhead City, AZ--NV","54396","9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Southern Nevada Transit Coalition, dba: SNTC - Laughlin","Laughlin","NV","91072","Private-Non-Profit Corporation","Reduced Reporter","2024","11431","Bullhead City, AZ--NV","54396","9","Funds Expended on Operations","250952",,"0",,"603938",,"0",,"1616361",,"2471251",
"City of Tehachapi","Tehachapi","CA","91074","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,,"Funds Expended on Operations","0",,"0",,"0",,"0",,"134558",,"134558",
"City of Tehachapi","Tehachapi","CA","91074","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Kingman, dba: Kingman Area Regional Transit","Kingman","AZ","91075","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Kingman, dba: Kingman Area Regional Transit","Kingman","AZ","91075","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","127990",,"0",,"355449",,"0",,"670368",,"1153807",
"City of Escalon, dba: eTrans","Escalon","CA","91078","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58006","Modesto, CA","357301","3","Funds Expended on Capital","0",,"0",,"0",,"28114",,"29235",,"57349",
"City of Escalon, dba: eTrans","Escalon","CA","91078","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58006","Modesto, CA","357301","3","Funds Expended on Operations","9888",,"0",,"53000",,"68017",,"179369",,"310274",
"County of Hawaii, dba: Hele-On","Hilo","HI","91080","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"108","Funds Expended on Operations","349713",,"0",,"29852802",,"0",,"0",,"30202515",
"County of Hawaii, dba: Hele-On","Hilo","HI","91080","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"108","Funds Expended on Capital","274487",,"0",,"4207542",,"0",,"2067578",,"6549607",
"Mariposa County, dba: Mariposa County Transit","Mariposa","CA","91082","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Mariposa County, dba: Mariposa County Transit","Mariposa","CA","91082","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Operations","136175",,"0",,"63366",,"28121",,"149134",,"376796",
"County of Glenn, dba: Glenn Transit Services","Willows","CA","91088","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"County of Glenn, dba: Glenn Transit Services","Willows","CA","91088","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","112664",,"0",,"538217",,"0",,"408226",,"1059107",
"Tehama County, dba: Tehama Rural Area Express","Gerber","CA","91089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","Funds Expended on Operations","0",,"0",,"355851",,"0",,"1896709",,"2252560",
"Tehama County, dba: Tehama Rural Area Express","Gerber","CA","91089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","Funds Expended on Capital","0",,"0",,"0",,"1353293",,"1584599",,"2937892",
"Morongo Basin Transit Authority, dba: Basin Transit","Joshua Tree","CA","91090","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Capital","0",,"0",,"783856",,"328887",,"1073662",,"2186405",
"Morongo Basin Transit Authority, dba: Basin Transit","Joshua Tree","CA","91090","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Operations","715705",,"0",,"3240317",,"0",,"666542",,"4622564",
"Tahoe Transportation District","Stateline","NV","91092","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","99999","Lake Tahoe, CA-NV","210000","12","Funds Expended on Capital","0",,"0",,"0",,"371925",,"2123441",,"2495366",
"Tahoe Transportation District","Stateline","NV","91092","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","99999","Lake Tahoe, CA-NV","210000","12","Funds Expended on Operations","320294",,"0",,"41132",,"2205068",,"4598988",,"7165482",
"County of Nevada, dba: Nevada County Connects","Nevada City","CA","91095","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","Funds Expended on Operations","347949",,"0",,"3527707",,"167290",,"1051865",,"5094811",
"County of Nevada, dba: Nevada County Connects","Nevada City","CA","91095","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","Funds Expended on Capital","0",,"0",,"0",,"0",,"2799861",,"2799861",
"City of Coolidge, dba: Cotton Express/Central Arizona Regional Transit","Coolidge","AZ","91096","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Coolidge, dba: Cotton Express/Central Arizona Regional Transit","Coolidge","AZ","91096","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Operations","23929",,"0",,"336648",,"0",,"614409",,"974986",
"Redwood Coast Transit Authority","Crescent City","CA","91097","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","Funds Expended on Operations","84685",,"0",,"0",,"101880",,"831744",,"1018309",
"Redwood Coast Transit Authority","Crescent City","CA","91097","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"462926",,"0",,"462926",
