"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fares","fares_questionable","park_and_ride","park_and_ride_questionable","concessions","concessions_questionable","advertising","advertising_questionable","other","other_questionable","purchased_transportation","purchased_transportation_1","total","total_questionable"
"Community Health Center of Southeast Kansas Inc, dba: CareVan","Pittsburg","KS","77094","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","410090",,,,,,,,,,,,"410090",
"Utah Transit Authority","Salt Lake City","UT","80001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78499","Salt Lake City, UT","1178533","1054","39285103",,,,"0",,"2092000",,"0",,,,"41377103",
"City of Sioux Falls, dba: Sioux Area Metro","Sioux Falls","SD","80002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","82252","Sioux Falls, SD","194283","36","418433",,,,,,"68770",,,,,,"487203",
"City of Fargo, dba: Metropolitan Area Transit","Fargo","ND","80003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","29089","Fargo, ND--MN","216214","40","664948",,,,"2640",,"104675",,"0",,"329813",,"1102076",
"City of Billings, dba: Billings Metropolitan Transit System","Billings","MT","80004","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","07705","Billings, MT","128787","27","602121",,,,,,"207993",,"0",,,,"810114",
"City of Colorado Springs, dba: Mountain Metropolitan Transit","Colorado Springs","CO","80005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","18856","Colorado Springs, CO","632494","103","2085285",,,,,,"459500",,"0",,,,"2544785",
"Denver Regional Transportation District, dba: RTD-Denver","Denver","CO","80006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","23527","Denver--Aurora, CO","2686147","1011","63906424",,"291313",,,,"50000",,"0",,,,"64247737",
"City of Pueblo, dba: Pueblo Transit","Pueblo","CO","80007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","72613","Pueblo, CO","120642","26","486875",,,,"5865",,"140404",,"0",,,,"633144",
"City of Grand Forks","Grand Forks","ND","80008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","34219","Grand Forks, ND--MN","68160","24","422874",,,,,,"101210",,"0",,"787290",,"1311374",
"Missoula Urban Transportation District, dba: Mountain Line","Missoula","MT","80009","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","57736","Missoula, MT","88109","37","0",,,,"15648",,"25594",,"0",,,,"41242",
"Greeley, City Of, dba: Greeley Evans Transit","Greeley","CO","80010","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34786","Greeley, CO","137222","30","530793",,,,,,,,"136387",,"0",,"667180",
"City of Fort Collins, dba: Transfort","Fort Collins","CO","80011","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","30628","Fort Collins, CO","326332","47","0",,,,,,"98378",,"0",,,,"98378",
"Great Falls Transit District","Great Falls","MT","80012","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","34759","Great Falls, MT","67097","24","320858",,,,,,"6725",,"0",,,,"327583",
"City of Casper, dba: Casper Area Transit","Casper","WY","80013","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14482","Casper, WY","67751","24","79681",,,,,,,,"0",,"0",,"79681",
"City of Rapid City, dba: Rapid Transit System","Rapid City","SD","80014","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73396","Rapid City, SD","85679","18","233184",,,,,,,,"61974",,"0",,"295158",
"Shoshone and Arapaho Tribes, dba: Shoshone Arapaho Tribal Transit","Fort Washakie","WY","80015","Tribe","Reduced Reporter","2024","00056","Wyoming Non-UZA","429850","5","0",,,,,,,,"0",,"0",,"0",
"County of Mesa, dba: Grand Valley Transit","Grand Junction","CO","80016","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34273","Grand Junction, CO","135973","19","383014",,,,,,,,"1503785",,,,"1886799",
"Southern Ute Indian Tribe","Ignacio","CO","80017","Tribe","Reduced Reporter","2024","00008","Colorado Non-UZA","1331465","0",,,,,,,,,,,,,,
"Fort Peck Tribes, dba: Fort Peck Transit Dial-A-Ride","Wolf Point","MT","80018","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","10","8947",,,,,,,,"0",,"0",,"8947",
"Bis-Man Transit Board, dba: Bis-Man Transit","Bismarck","ND","80019","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","07921","Bismarck, ND","98198","24","338153",,,,,,,,"446659",,,,"784812",
"The City of Cheyenne, dba: Cheyenne Transit Program","Cheyenne","WY","80020","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16237","Cheyenne, WY","79250","14","16327",,,,,,,,,,"0",,"16327",
"City of Loveland, Colorado, dba: City of Loveland Transit","Loveland","CO","80025","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","30628","Fort Collins, CO","326332","10","57554",,,,,,"47235",,"0",,,,"104789",
"City of St. George, dba: SunTran","Saint George","UT","80026","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77446","St. George, UT","134109","10","205860",,,,,,,,"311858",,,,"517718",
"Cache Valley Transit District, dba: Connect Transit","North Logan","UT","80028","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","50959","Logan, UT","113927","33","0",,,,"4723",,"45715",,"0",,,,"50438",
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo","Fort Collins","CO","80106","MPO, COG or Other Planning Agency","Full Reporter","2024","30628","Fort Collins, CO","326332","22","102093",,,,,,,,"0",,,,"102093",
"University of Montana, dba: ASUM Transportation","Missoula","MT","80107","University","Full Reporter","2024","57736","Missoula, MT","88109","5","0",,,,,,"517",,"0",,,,"517",
"Denver Regional Council of Governments","Denver","CO","80109","MPO, COG or Other Planning Agency","Full Reporter","2024","23527","Denver--Aurora, CO","2686147","78","907190",,,,,,,,,,,,"907190",
"Fargo Park District, dba: Valley Senior Services","Fargo","ND","80110","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","29089","Fargo, ND--MN","216214","23","97027",,,,,,,,"56691",,"134530",,"288248",
"SESDAC, Inc, dba: Vermillion Public Transit","Vermillion","SD","80112","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","33432",,,,,,,,"85",,,,"33517",
"Stark County Council on Aging / Elder Care, dba: Dickinson Public Transit","Dickinson","ND","80114","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","210137",,,,,,,,"65172",,,,"275309",
"Prowers County, dba: Prowers Area Transit","Lamar","CO","80115","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","26015",,,,,,,,"0",,"0",,"26015",
"City of Mitchell, dba: Palace Transit","Mitchell","SD","80116","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","194930",,,,,,,,"126202",,,,"321132",
"Garfield County, dba: Big Dry Transit","Jordan","MT","80117","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","4440",,,,,,,,,,,,"4440",
"City of Black Hawk, dba: The Black Hawk & Central City Tramway","Black Hawk","CO","80119","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0",,,,,,,,"0",,"0",,"0",
"South Big Horn Senior Citizens, Inc., dba: South Big Horn Senior Citizens Center","Greybull","WY","80120","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","484",,,,,,,,,,,,"484",
"Fremont County Association of Governments, dba: Wind River Transportation Authority","Riverton","WY","80121","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"9","216296",,,,,,,,,,,,"216296",
"Devils Lake, dba: Devils Lake Transit","Devils Lake","ND","80122","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","49165",,,,,,,,"25408",,,,"74573",
"James River Senior Citizens Center, Inc., dba: JRSC Center & Public Transit","Jamestown","ND","80124","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","106838",,,,,,,,"87474",,,,"194312",
"South Central Adult Services","Valley City","ND","80125","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"49","316256",,,,,,,,"319614",,,,"635870",
"City of Aberdeen, dba: Ride Line Transportation Services","Aberdeen","SD","80126","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","112006",,,,,,,,"43747",,,,"155753",
"Pembina County Meals and Transportation","Drayton","ND","80129","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","21717",,,,,,,,"470",,,,"22187",
"Dickey County Senior Citizens, dba: Dickey County Public Transportation","Ellendale","ND","80130","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","3781",,,,,,,,,,,,"3781",
"Crook County Senior Services, Inc.","Sundance","WY","80132","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","27807",,,,,,,,,,,,"27807",
"Liberty County, dba: Liberty County Transit","Chester","MT","80134","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0",,,,,,,,"1200",,,,"1200",
"Carter County, dba: Carter Charter","Ekalaka","MT","80135","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","9627",,,,,,,,,,,,"9627",
"Helena, City of, dba: Capital Transit","Helena","MT","80137","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","38161","Helena, MT","52380","13","70699",,,,,,,,,,,,"70699",
"Rosebud Health Care Center","Forsyth","MT","80139","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","5236",,,,,,,,,,,,"5236",
"University of Wyoming","Laramie","WY","80140","University","Rural Reporter","2024",,,,"15","5659",,,,,,,,,,,,"5659",
"Ravalli County Council on Aging, dba: BitterRoot Bus","Hamilton","MT","80142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","31666",,,,,,,,"1600",,,,"33266",
"Liberty Place, Inc., dba: Whitehall Public Transportation","Whitehall","MT","80144","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","28917",,,,,,,,"8517",,,,"37434",
"Upper Arkansas Area Council of Governments","Canon City","CO","80148","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"0",,,,,,,,,"0",,"0",,"0",
"Gunnison Valley Rural Transportation Authority, dba: Gunnison Valley RTA","Crested Butte","CO","80150","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0",,,,,,,,,,,,"0",
"Buffalo Senior Center Inc., dba: Buffalo Area Transit System","Buffalo","WY","80151","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","21810",,,,,,,,,,,,"21810",
"Nutrition United, dba: Rolette County Transit","Rolla","ND","80152","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","8425",,,,,,,,,,,,"8425",
"People's Transit","Huron","SD","80153","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"17","207704",,,,,,,,"29",,,,"207733",
"City of Brandon, dba: Brandon City Transit, Inc","Brandon","SD","80154","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","19596",,,,,,,,"630",,,,"20226",
"Eagle County, dba: ECO Transit","Eagle","CO","80155","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","786915",,,,,,,,,,"0",,"786915",
"Mountain Express","Crested Butte","CO","80159","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","37300",,,,,,,,"0",,"0",,"37300",
"Williston Council for the Aging, dba: Northwest Dakota Public Transit","Williston","ND","80160","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","80043",,,,,,,,"34432",,,,"114475",
"Summit County, dba: Summit Stage","Breckenridge","CO","80161","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"31","0",,,,,,,,"216281",,,,"216281",
"East Central Council of Local Governments, dba: Outback Express","Stratton","CO","80162","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"3","417",,,,,,,,"0",,"0",,"417",
"Campbell County Senior Citizens Association Inc, dba: Campbell County Senior Center","Gillette","WY","80163","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","33698",,,,,,,,,,,,"33698",
"Sanders County Council on Aging, dba: Sanders County Transportation","Hot Springs","MT","80164","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","22354",,,,,,,,"0",,"0",,"22354",
"Urban Transportation District of Dawson County, dba: Dawson Urban Transit","Glendive","MT","80166","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"7","17019",,,,,,,,"586",,,,"17605",
"Powder River County, dba: Powder River County Transportation","Broadus","MT","80167","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","16694",,,,,,,,,,,,"16694",
"Dolores County, dba: Senior and Public Transportation","Dove Creek","CO","80168","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","5497",,,,,,,,"38145",,,,"43642",
"Toole County, dba: Northern Transit Interlocal","Shelby","MT","80169","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","3593",,,,,,,,,,,,"3593",
"Town of Breckenridge, dba: Free Ride","Breckenridge","CO","80170","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0",,,,,,,,"0",,"0",,"0",
"Community Coordinated Transportation Systems, dba: River Cities Public Transit","Pierre","SD","80171","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"48","405558",,,,,,,,"77840",,,,"483398",
"Lincoln County Transportation Service, Inc., dba: Lincoln County Transportation Service","Libby","MT","80172","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","33514",,,,,,,,"300",,,,"33814",
"Mineral County Pioneer Council, Inc., dba: Mineral County Transportation Services","Superior","MT","80173","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","3465",,,,,,,,,,,,"3465",
"Silver Bow County, dba: Butte Silver Bow Transit","Butte","MT","80174","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0",,,,,,,,"41808",,,,"41808",
"City of Burlington, dba: Outback Express","Burlington","CO","80179","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","2540",,,,,,,,"0",,"0",,"2540",
"Custer County","Miles City","MT","80181","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","22513",,,,,,,,,,,,"22513",
"Rural Office of Community Services","Wagner","SD","80182","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"33","478159",,,,,,,,"37651",,,,"515810",
"Valley County, dba: Valley County Transit","Glasgow","MT","80183","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","51910",,,,,,,,"146696",,,,"198606",
"Lake County Council on Aging, dba: Lake Community Transit","Ronan","MT","80184","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","11400",,,,,,,,,,,,"11400",
"Riverton Senior Center, dba: Riverton Public Transportation Service","Riverton","WY","80185","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","44848",,,,,,,,,,,,"44848",
"City of Steamboat Springs, dba: Steamboat Springs Transit","Steamboat Springs","CO","80186","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26","163140",,,,,,,,"258675",,"0",,"421815",
"Brookings Area Transit Authority","Brookings","SD","80187","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25","413138",,,,,,,,"116831",,,,"529969",
"Southern Teton Area Rapid Transit, dba: START Bus","Jackson","WY","80188","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","107316",,,,,,,,,,,,"107316",
"Southern Teton Area Rapid Transit, dba: START Bus","Jackson","WY","80188","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"0","475503",,,,,,,,"0",,"0",,"475503",
"Southern Colorado Community Action Agency, Inc., dba: Road Runner Transit / Ignacio Senior Center","Ignacio","CO","80189","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","126665",,,,,,,,"79377",,,,"206042",
"East Dakota Transit, Inc.","Madison","SD","80190","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","29231",,,,,,,,"23743",,,,"52974",
"Senior Citizens Council, dba: Goose Creek Transit","Sheridan","WY","80193","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","54121",,,,,,,,,,,,"54121",
"Kenmare Wheels & Meals, dba: Kenmare Transit","Kenmare","ND","80196","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","5763",,,,,,,,,,,,"5763",
"North Big Horn Senior Center, Inc., dba: North Big Horn Senior Center","Lovell","WY","80199","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","11171",,,,,,,,,,,,"11171",
"Missoula Ravalli Transportation Management Association, dba: I Ride Vanpool","Missoula","MT","80200","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24","7524",,,,,,,,,,,,"7524",
"Montezuma County, dba: MoCo Public Transportation","Cortez","CO","80201","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","136956",,,,,,,,,,,,"136956",
"Opportunity Link","Havre","MT","80204","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0",,,,,,,,,,,,"0",
"Daniels Memorial Healthcare Foundation, dba: Daniels County Transportation","Scobey","MT","80205","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","3872",,,,,,,,"34",,,,"3906",
"City of Durango, dba: Durango Transit","Durango","CO","80206","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","288899",,,,,,,,"8787",,"0",,"297686",
"Hot Springs County Senior Citizens Center, Inc.","Thermopolis","WY","80209","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","9857",,,,,,,,,,,,"9857",
"Town of Limon","Limon","CO","80211","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","4225",,,,,,,,"0",,"0",,"4225",
"Converse County Aging Services, dba: Douglas Senior Center and Glenrock Senior Center","Douglas","WY","80216","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","10299",,,,,,,,,,,,"10299",
"Sweetwater County Transit Authority, dba: STAR Transit","Rock Springs","WY","80218","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"6","16678",,,,,,,,,,,,"16678",
"Flathead County, dba: Mountain Climber Transit","Kalispell","MT","80220","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","35932",,,,,,,,"536",,,,"36468",
"Northeastern Colorado Association of Local Governments, dba: County Express / Prairie Express","Fort Morgan","CO","80221","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"60","1247668",,,,,,,,,,,,"1247668",
"Lander Senior Citizens Center, Inc., dba: Lander Senior Center","Lander","WY","80223","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","23620",,,,,,,,,,,,"23620",
"Phillips Transit Authority","Malta","MT","80224","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"7","13851",,,,,,,,,,,,"13851",
"City of La Junta, dba: La Junta Transit","La Junta","CO","80225","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","13608",,,,,,,,"0",,"0",,"13608",
"Huerfano/Las Animas Area Council of Governments, dba: South Central Council of Governments","Trinidad","CO","80227","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"7","0",,,,,,,,"0",,"0",,"0",
"Kidder-Emmons County Senior Services, dba: Kidder County Transit","Steele","ND","80228","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","4716",,,,,,,,,,,,"4716",
"Cavalier County Senior Meals & Services, dba: Cavalier County Transit","Langdon","ND","80233","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","14614",,,,,,,,"25",,,,"14639",
"Human Resource Development Council District IX, Inc., dba: Galavan / Streamline","Bozeman","MT","80235","Private-Non-Profit Corporation","Reduced Reporter","2024","09514","Bozeman, MT","59080","21","7393",,,,,,,,,,,,"7393",
"Fergus County Council on Aging, dba: Central Montana Shuttle","Lewistown","MT","80236","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","23779",,,,,,,,"15510",,,,"39289",
"Neighbor to Neighbor Volunteers, dba: Mountain Valley Transit","Salida","CO","80237","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","306074",,,,,,,,"74744",,"0",,"380818",
"West River Transit","Bismarck","ND","80238","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","80709",,,,,,,,"10740",,,,"91449",
"Cedar City","Cedar City","UT","80248","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","29057",,,,,,,,"0",,"0",,"29057",
"Benson County Transportation","Maddock","ND","80249","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","2900",,,,,,,,,,,,"2900",
"Eppson Center for Seniors","Laramie","WY","80252","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","5320",,,,,,,,,,,,"5320",
"West River Transit Authority, Inc., dba: Prairie Hills Transit","Spearfish","SD","80253","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"30","102352",,,,,,,,"885312",,,,"987664",
"Glen-wood, Inc., dba: Quality Transit","Plentywood","MT","80254","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","15308",,,,,,,,"19483",,,,"34791",
"Big Sky Transportation District, dba: Skyline","Big Sky","MT","80255","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"11","226665",,,,,,,,"0",,"0",,"226665",
"Town of Mountain Village, dba: Mountain Village Transit","Telluride","CO","80256","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"75","0",,,,,,,,"0",,"0",,"0",
"Uinta Senior Citizens, Inc.","Evanston","WY","80257","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","10098",,,,,,,,,,,,"10098",
"City of Glenwood Springs, dba: Ride Glenwood Springs","Glenwood Springs","CO","80258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0",,,,,,,,,,,,"0",
"Richland County, dba: Richland County Transit","Sidney","MT","80259","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0",,,,,,,,,,,,"0",
"Uintah Basin Association of Governments","Roosevelt","UT","80260","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"7","0",,,,,,,,,,,,"0",
"Can-Do Transportation, dba: Towner County Transportation","Cando","ND","80261","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","8012",,,,,,,,,,,,"8012",
"City of Laurel, dba: Laurel Transit","Laurel","MT","80262","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","5583",,,,,,,,,,,,"5583",
"Town of Snowmass Village, dba: Village Shuttle","Snowmass Village","CO","80263","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"24","0",,,,,,,,"603783",,,,"603783",
"Cody Council on Aging, Inc., dba: Cody Senior Center","Cody","WY","80264","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","7979",,,,,,,,,,,,"7979",
"Senior Resource Development Agency, Pueblo, Inc.","Pueblo","CO","80267","Private-Non-Profit Corporation","Reduced Reporter","2024","72613","Pueblo, CO","120642","12","122016",,,,,,,,,,,,"122016",
"Southwest Transportation Services, dba: Southwest Public Transit","Bowman","ND","80268","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","27444",,,,,,,,"6441",,,,"33885",
"West Yellowstone Foundation, Inc., dba: West Yellowstone Foundation","West Yellowstone","MT","80269","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","10780",,,,,,,,,,,,"10780",
"Golden Valley/Billings County Council On Aging","Beach","ND","80270","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","22409",,,,,,,,"2386",,,,"24795",
"Yankton Transit, Inc.","Yankton","SD","80271","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","94767",,,,,,,,"26972",,,,"121739",
"Canon City Golden Age Council, Inc, dba: Fremont County Transit","Canon City","CO","80274","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","131607",,,,,,,,"0",,"0",,"131607",
"City of Cripple Creek, dba: Cripple Creek Transit","Cripple Creek","CO","80275","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0",,,,,,,,"0",,"0",,"0",
"Carbon County Senior Services, Inc.","Rawlins","WY","80278","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","3501",,,,,,,,,,,,"3501",
"Archuleta County, dba: Mountain Express Transit","Pagosa Springs","CO","80280","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","6983",,,,,,,,"0",,"0",,"6983",
"Park City Municipal Corporation","Park City","UT","80284","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"27","792",,,,,,,,,,,,"792",
"Via Mobility Services, dba: Via","Boulder","CO","80285","Private-Non-Profit Corporation","Full Reporter","2024","09298","Boulder, CO","120828","59","45853",,,,,,,,"0",,,,"45853",
"Goshen County Senior Friendship Center, dba: Senior Friendship Center","Torrington","WY","80287","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","6853",,,,,,,,,,,,"6853",
"Weston County Senior Services","Newcastle","WY","80288","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","7172",,,,,,,,,,,,"7172",
"Roaring Fork Transportation Authority","Glenwood Springs","CO","80289","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"97","5108157",,,,,,,,"15133292",,,,"20241449",
"Hazen Busing Project, dba: Hazen Busing","Hazen","ND","80290","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","22834",,,,,,,,"15975",,,,"38809",
"Walsh County Transportation Program, dba: Walsh County Public Transportation Program","Park River","ND","80296","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","15438",,,,,,,,"297",,,,"15735",
"Community Coordinated Transportation System","Pierre","SD","80298","Private-Non-Profit Corporation","Reduced Reporter","2024","82252","Sioux Falls, SD","194283","11","590179",,,,,,,,,,,,"590179",
"Silver Key Senior Services, Inc","Colorado Springs","CO","80299","Private-Non-Profit Corporation","Reduced Reporter","2024","18856","Colorado Springs, CO","632494","21","64658",,,,,,,,,,,,"64658",
"Rendezvous Pointe","Pinedale","WY","80301","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","10207",,,,,,,,,,,,"10207",
"Souris Basin Transit","Minot","ND","80302","Private-Non-Profit Corporation","Reduced Reporter","2024","57655","Minot, ND","50925","26","205634",,,,,,,,"15000",,"0",,"220634",
"City of Minot, dba: Minot City Transit","Minot","ND","80303","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","57655","Minot, ND","50925","7","76870",,,,,,,,"8246",,,,"85116",
"Services for Seniors, Inc., dba: Services for Seniors","Wheatland","WY","80304","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","2209",,,,,,,,,,,,"2209",
"Northern Cheyenne Tribe, dba: Northern Cheyenne Tribal Transit Program","Lame Deer","MT","88116","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","2","0",,,,,,,,,,,,"0",
"Oglala Sioux Tribe","Pine Ridge","SD","88122","Tribe","Reduced Reporter","2024","00046","South Dakota Non-UZA","599629","7","89328",,,,,,,,"4242",,"0",,"93570",
"Spirit Lake Tribe, dba: Spirit Lake Tribal Transit","Fort Totten","ND","88128","Tribe","Reduced Reporter","2024","00038","North Dakota Non-UZA","403127","4","8336",,,,,,,,,,"0",,"8336",
"Confederated Salish and Kootenai Tribes, dba: CSKT Transit","Pablo","MT","88134","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","20","44471",,,,,,,,,,,,"44471",
"Sitting Bull College","Fort Yates","ND","88140","Tribe","Reduced Reporter","2024","00038","North Dakota Non-UZA","403127","14","44150",,,,,,,,,,,,"44150",
"Turtle Mountain Band of Chippewa Indian","Belcourt","ND","88146","Tribe","Reduced Reporter","2024","00038","North Dakota Non-UZA","403127","4","0",,,,,,,,"0",,"0",,"0",
"Blackfeet Nation, dba: Blackfeet Transit Program","Browning","MT","88152","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","13","10220",,,,,,,,"0",,"0",,"10220",
