"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"County of Sedgwick, dba: Sedgwick County Transportation","Wichita","KS","70054","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","95077","Wichita, KS","500231","7","0","0","0","0","0","0","0","0","128578","128578"
"City of Derby, dba: Derby Dash Public Transportation","Derby","KS","70055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","95077","Wichita, KS","500231","1","0","0","0","0","0","0","0","0","80364","80364"
"Butler, County of, dba: Butler County Transit Program","El Dorado","KS","70056","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","95077","Wichita, KS","500231","7","0","0","0","0","0","0","0","0","162159","162159"
"Loop Trolley Transportation Development District","Saint Louis","MO","70057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","77770","St. Louis, MO--IL","2156323","1","0","0","864343","0","0","0","0","0","0","864343"
"Senior Services Inc., dba: Open Plains Transit","Alliance","NE","70058","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","65838","65838"
"Developmental Services of Northwest Kansas, Inc., dba: Access Transportation","Hays","KS","70060","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","181069","181069"
"Thomas County, dba: Thomas County Transportation Van","Colby","KS","70062","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","17346","17346"
"Dunklin County Transit Service, Inc.","Malden","MO","70063","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","376971","376971"
"Iowa Northland Regional Council of Governments, dba: Iowa Northland Regional Transportation Authority","Waterloo","IA","70064","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"19","0","0","0","0","0","0","0","0","44585","44585"
"Heart of Iowa Regional Transit Agency, dba: HIRTA Public Transit","Urbandale","IA","70066","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","02062","Ames, IA","66342","30","353874","0","0","0","0","0","0","0","0","353874"
"City of Bloomfield","Bloomfield","MO","70067","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","37510","37510"
"Schuyler, dba: Schuyler Public Transit","Schuyler","NE","70069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","14095","14095"
"Finney County, dba: Finney County Public Transit","Garden City","KS","70070","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","344225","344225"
"Morris County, dba: Morris County General Public Transportation","Council Grove","KS","70072","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","42640","42640"
"Midland Area Agency, dba: Midland Public Transit","Hastings","NE","70073","Area Agency on Aging","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","54905","54905"
"City Of Sidney, dba: City of Sidney Public Transportation","Sidney","NE","70074","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","62841","62841"
"Blue River AAA, dba: Blue Rivers Public Transportation","Beatrice","NE","70076","Area Agency on Aging","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","94055","94055"
"Southeast Kansas Community Action Program","Girard","KS","70078","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","274538","274538"
"Grant County, dba: Grant/Arthur Handibus","Hyannis","NE","70079","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","835","835"
"Mid-Nebraska Community Action, dba: Reach Your Destination Easily","Kearney","NE","70081","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"38","0","0","0","0","0","0","0","0","357614","357614"
"Norton County Senior Citizens, dba: Norton Co Senior Citizens Public Transportation","Norton","KS","70084","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","18670","18670"
"City of Mount Vernon","Mount Vernon","MO","70085","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","16449","16449"
"Rush County, dba: Rush County Public Transportation","La Crosse","KS","70086","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","27818","27818"
"Lincoln County, dba: Lincoln County Public Transportation","Lincoln","KS","70087","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","27712","27712"
"Rooks County, dba: Rooks County Health Center","Plainville","KS","70088","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","44143","44143"
"City of Bonner Springs, dba: Tiblow Transit","Bonner Springs","KS","70089","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","43912","Kansas City, MO--KS","1674218","4","0","0","0","0","0","0","0","0","42944","42944"
"Southeast Missouri Transportation, Inc.","Fredericktown","MO","70091","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"164","0","0","0","0","0","0","0","0","3960528","3960528"
"City of Marshalltown, dba: Marshalltown Municipal Transit","Marshalltown","IA","70092","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","239746","239746"
"City of Wakeeney, dba: Wakeeney Public Transportation","Wakeeney","KS","70094","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","21900","21900"
"Linn County, dba: Linn County Public Transportation","Mound City","KS","70096","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","47377","47377"
"Licking Bridge Builders Senior Center","Licking","MO","70099","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","24155","24155"
"Stratton Industrial Commission, dba: Hitch & Hay Public Transit","Stratton","NE","70100","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","23434","23434"
"City of Muscatine, dba: MuscaBus","Muscatine","IA","70101","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","126584","126584"
"Decatur County, dba: Decatur County Transportation","Oberlin","KS","70102","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","14498","14498"
"Jefferson County Service Organization, dba: Jefferson County Public Transportation","Oskaloosa","KS","70103","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","60051","60051"
"City of Smith Center, dba: SC Public Transportation Community Connection","Smith Center","KS","70105","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","28576","28576"
"Ray County Transportation, Inc., dba: Direct Transit","Richmond","MO","70106","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24","0","0","0","0","0","0","0","0","548924","548924"
"City of Alliance, dba: Alliance Public Transit","Alliance","NE","70107","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","83476","83476"
"City of Fort Dodge, dba: Dodger Area Rapid Transit","Fort Dodge","IA","70108","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","94469","94469"
"Osage County","Lyndon","KS","70109","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","64339","64339"
"City of Burlington, dba: Burlington Urban Service","Burlington","IA","70111","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","232275","232275"
"Southeast Nebraska Community Action Partnership, dba: Pawnee and Richardson County Public Transportation","Humboldt","NE","70112","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","0","0"
"Commmunity Memorial Health Center Burwell, dba: Community Memorial Health Center Transportation","Burwell","NE","70113","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","11585","11585"
"Ripley County Transit, Inc.","Doniphan","MO","70114","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","454602","454602"
"City of Hoisington, dba: Hoisington Public Transportation","Hoisington","KS","70115","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","10763","10763"
"City of Herington, dba: Herington Public Transportation","Herington","KS","70120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","5339","5339"
"Butler County Senior Service Program, dba: Butler County Rural Transit","David City","NE","70121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","24517","24517"
"Pottawatomie County, dba: Pottawatomie County Public Transportation","Westmoreland","KS","70122","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","60289","60289"
"City of Great Bend, dba: Great Bend Transportation","Great Bend","KS","70123","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","71577","71577"
"Oakland Heights, dba: Oakland Public Transit","Oakland","NE","70124","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","12093","12093"
"City of Neligh, dba: City of Neligh Dial-A-Ride","Neligh","NE","70125","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","15540","15540"
"Perkins County Public Transit","Grant","NE","70126","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","16008","16008"
"Ogallala Transit System, dba: Ogallala Public Transportation","Ogallala","NE","70127","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","27029","27029"
"Chase County, dba: Chase County Transit","Imperial","NE","70128","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","32685","32685"
"Siouxland Interstate Metropolitan Planning Council, dba: Siouxland Regional Transit System","Sioux City","IA","70129","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"20","0","0","0","0","0","0","0","0","527728","527728"
"Valley County Hospital, dba: VCHS Public Transit","Ord","NE","70130","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","1920","1920"
"Doniphan County, dba: Doniphan County Public Transportation","Troy","KS","70132","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","43893","43893"
"OATS, Inc., dba: Operating Above the Standard","Columbia","MO","70133","Private-Non-Profit Corporation","Reduced Reporter","2024","77770","St. Louis, MO--IL","2156323","376","0","0","0","0","0","0","0","0","1024290","1024290"
"City of Nevada","Nevada","MO","70134","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","16957","16957"
"Tri-Valley Developmental Services, dba: Tri Valley Public Transportation","Chanute","KS","70135","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","16786","16786"
"Delaware, Dubuque & Jackson County Regional Transit Authority, dba: Region 8 Regional Transit Authority","Dubuque","IA","70136","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","51877","51877"
"Sunflower Diversified Services, dba: Sunflower Diversified","Great Bend","KS","70137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","148417","148417"
"East Central Iowa Council of Governments, dba: Corridor Rides","Cedar Rapids","IA","70138","MPO, COG or Other Planning Agency","Reduced Reporter","2024","41590","Iowa City, IA","126810","27","0","0","0","0","0","0","0","0","67021","67021"
"City of Dodge City, dba: Dodge City Public Transportation","Dodge City","KS","70139","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","203091","203091"
"Mississippi County Transit System, Inc.","East Prairie","MO","70140","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","38275","38275"
"Pratt County, dba: Pratt County General Public Transportation","Pratt","KS","70141","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","31530","31530"
"Hooker Co, dba: Hooker Co Handi Bus","Mullen","NE","70143","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","4474","4474"
"Chase County, dba: Chase County Public Transportation","Cottonwood Falls","KS","70144","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","20988","20988"
"OCCK, Inc.","Salina","KS","70145","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"59","0","0","0","0","0","0","0","0","1248816","1248816"
"Ottawa County, dba: Ottawa County Public Transportation","Minneapolis","KS","70146","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","57136","57136"
"City of New Madrid","New Madrid","MO","70147","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","102024","102024"
"Saline County Area Transit","Western","NE","70148","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","75950","75950"
"City of Carthage","Carthage","MO","70152","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","41333","41333"
"City of North Platte, dba: North Platte Public Transit","North Platte","NE","70153","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","177582","177582"
"City of West Plains","West Plains","MO","70155","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","91221","91221"
"Community Concern, dba: North Fork Area Transit","Norfolk","NE","70156","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","145633","145633"
"Elk County Council on Aging","Moline","KS","70158","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","31246","31246"
"City of Excelsior Springs","Excelsior Springs","MO","70162","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","71701","71701"
"Paola Senior Citizen Center, Inc., dba: Paola Public Transportation","Paola","KS","70163","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","21430","21430"
"Lancaster Co Rural Transit","Lincoln","NE","70164","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","19192","19192"
"City of Houston, dba: Houston Shuttle","Houston","MO","70165","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","19354","19354"
"Ellsworth County, dba: Ellsworth Council on Aging Public Transportation","Ellsworth","KS","70167","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","11889","11889"
"Scott County Transit System, Inc.","Sikeston","MO","70168","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","159304","159304"
"City of Wilson, dba: Wilson Public Transportation","Wilson","KS","70171","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","2011","2011"
"City of Clinton","Clinton","IA","70173","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","491439","491439"
"City of El Dorado Springs","El Dorado Springs","MO","70177","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","30684","30684"
"Lakemary Center, Inc","Paola","KS","70178","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","21158","21158"
"McPherson County, dba: McPherson County Transportation","Mcpherson","KS","70179","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","36462","36462"
"Reno County, dba: Reno County Area Transit","Hutchinson","KS","70180","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","501964","501964"
"City Of Tecumseh, dba: Tecumseh Area Transit","Tecumseh","NE","70181","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","15594","15594"
"Phelps County Senior Citizen, dba: Phelps County Handi Bus","Holdrege","NE","70182","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","20048","20048"
"Scotts Bluff Public Transit, dba: Tri City Roadrunner","Gering","NE","70183","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","157461","157461"
"City of Louisburg, dba: Louisburg Area Senior Citizens Center","Louisburg","KS","70184","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","35580","35580"
"North Iowa Area Council of Governments, dba: Region 2 Transit","Mason City","IA","70185","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"50","0","0","0","0","0","0","0","0","992111","992111"
"Greenwood County, dba: Greenwood County Public Transportation","Eureka","KS","70186","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","30122","30122"
"Twin Rivers Developmental Supports Inc.","Arkansas City","KS","70187","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","22938","22938"
"City of Fremont","Fremont","NE","70188","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","68640","68640"
"City of Clinton","Clinton","MO","70189","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","90617","90617"
"City of Phillipsburg, dba: Phillipsburg General Transportation","Phillipsburg","KS","70191","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","17193","17193"
"Loup City, dba: City of Loup City Handibus","Loup City","NE","70192","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","12104","12104"
"City of Plainview Handivan","Plainview","NE","70193","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","3882","3882"
"Cambridge Memorial Hospital, dba: Tri Valley Public Transportation","Cambridge","NE","70194","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","30422","30422"
"Northeast Iowa Community Action Corporation, dba: Earl Public Transit","Decorah","IA","70195","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","173220","173220"
"Republic County, dba: Republic County Transportation","Belleville","KS","70196","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","36492","36492"
"Lane County, dba: Lane County Transportation","Dighton","KS","70197","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","6197","6197"
"Harlan Co. Public Transit","Alma","NE","70198","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","10451","10451"
"Logan County, dba: Logan County Public Transportation","Oakley","KS","70199","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","12364","12364"
"Kimball County Public Transit","Kimball","NE","70200","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"21","0","0","0","0","0","0","0","0","231666","231666"
"Independence, Inc.","Lawrence","KS","70201","Private-Non-Profit Corporation","Reduced Reporter","2024","48232","Lawrence, KS","94998","5","0","0","0","0","0","0","0","0","180959","180959"
"Wolf Memorial Good Samaritan Center","Albion","NE","70202","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","7392","7392"
"Morrill County Handi Bus","Bridgeport","NE","70203","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","12756","12756"
"Anderson County, dba: Anderson County Public Transportation","Garnett","KS","70204","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","20121","20121"
"Blue Valley Community Action Partnership, dba: Fillmore County Transit","Geneva","NE","70205","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","30343","30343"
"Kingman County, dba: Kingman County Public Transportation","Kingman","KS","70206","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","30942","30942"
"Marshall County","Marysville","KS","70208","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","65231","65231"
"Four County, dba: Four County Transit","Independence","KS","70209","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24","0","0","0","0","0","0","0","0","497582","497582"
"Rice County, dba: Quivira Transit","Lyons","KS","70210","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","78628","78628"
"City of Lamar","Lamar","MO","70211","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","49776","49776"
"Cedar County Transit","Hartington","NE","70212","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","71729","71729"
"Nemaha County, dba: Nemaha County General Public Transit","Seneca","KS","70213","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","121962","121962"
"City of Columbus Transit","Columbus","NE","70214","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","38674","38674"
"City of Goodland, dba: Goodland Public Transportation","Goodland","KS","70215","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","9253","9253"
"Avera Creighton Hospital, dba: Avera Creighton Hospital Transportation Services","Yankton","SD","70216","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","0","0"
"Southeast Iowa Regional Planning Commission, dba: Southeast Iowa Bus","West Burlington","IA","70217","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","154071","154071"
"Wabaunsee County","Alma","KS","70218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","29385","29385"
"Region Six Planning Commission, dba: Peoplerides","Marshalltown","IA","70219","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","169353","169353"
"Avera St.Anthony's Hospital, dba: Avera St. Anthony's Hospital Transportation System","Oneill","NE","70220","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","0","0"
"Southern Iowa Trolley","Creston","IA","70221","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","98486","98486"
"Coffey County","Burlington","KS","70222","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","161484","161484"
"Senior Information Center York, dba: York County Public Transportation","York","NE","70223","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","57316","57316"
"Region 12 Council of Governments, dba: Western Iowa Transit","Carroll","IA","70224","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"49","0","0","0","0","0","0","0","0","136121","136121"
"Franklin County, dba: Franklin County Public Transportation","Ottawa","KS","70225","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","70287","70287"
"Class LTD","Columbus","KS","70226","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","144087","144087"
"City of Liberal, dba: Liberal City Bus","Liberal","KS","70227","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","168860","168860"
"Harper County, dba: Harper County Public Transportation Services","Anthony","KS","70228","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","57538","57538"
"City Of McCook Public Transit","Mc Cook","NE","70232","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","36043","36043"
"Wayne Public Transit","Wayne","NE","70233","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","19817","19817"
"Cowley County, dba: Cowley County Public Transportation","Winfield","KS","70235","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","107046","107046"
"Harvey County, dba: Harvey Interurban Transportation","Newton","KS","70238","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","64730","64730"
"Regional Transit Authority, dba: Rides","Spencer","IA","70240","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"58","0","0","0","0","0","0","0","0","647405","647405"
"City of Russell, dba: The Russell Ride","Russell","KS","70241","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","24145","24145"
"10-15 Regional Transit Agency, dba: 10-15 Transit","Ottumwa","IA","70242","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"93","0","0","0","0","0","0","0","0","315242","315242"
"City of Benkelman","Benkelman","NE","70244","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","7936","7936"
"Community Senior Service Center, dba: Community Senior Service Center Transportation","Osawatomie","KS","70245","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","22513","22513"
"Seward County Public Transit","Seward","NE","70246","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","119591","119591"
"City of Crawford, dba: Crawford Public Transportation","Crawford","NE","70247","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","16571","16571"
"Lyon County, dba: Lyon County Transportation","Emporia","KS","70248","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","273277","273277"
"Clay County Task Force","Clay Center","KS","70250","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","60400","60400"
"The Guidance Center","Leavenworth","KS","70251","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","73998","73998"
"Saunders County Transportation","Wahoo","NE","70253","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","14408","14408"
"Solomon Valley, dba: Solomon Valley Transportation","Beloit","KS","70255","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","107213","107213"
"Mid Iowa Development Association Council of Governments, dba: MIDAS Council of Governments","Fort Dodge","IA","70256","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","92280","92280"
"Macon Area Chamber of Commerce","Macon","MO","70257","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","13986","13986"
