"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","income_tax","sales_tax","property_tax","fuel_tax","other_tax","tolls","other_funds","total"
"City of Herington, dba: Herington Public Transportation","Herington","KS","70120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Butler County Senior Service Program, dba: Butler County Rural Transit","David City","NE","70121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Pottawatomie County, dba: Pottawatomie County Public Transportation","Westmoreland","KS","70122","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"City of Great Bend, dba: Great Bend Transportation","Great Bend","KS","70123","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Oakland Heights, dba: Oakland Public Transit","Oakland","NE","70124","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Neligh, dba: City of Neligh Dial-A-Ride","Neligh","NE","70125","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Perkins County Public Transit","Grant","NE","70126","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Ogallala Transit System, dba: Ogallala Public Transportation","Ogallala","NE","70127","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Chase County, dba: Chase County Transit","Imperial","NE","70128","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Siouxland Interstate Metropolitan Planning Council, dba: Siouxland Regional Transit System","Sioux City","IA","70129","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"20",,,,,,,,
"Valley County Hospital, dba: VCHS Public Transit","Ord","NE","70130","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"Doniphan County, dba: Doniphan County Public Transportation","Troy","KS","70132","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"OATS, Inc., dba: Operating Above the Standard","Columbia","MO","70133","Private-Non-Profit Corporation","Reduced Reporter","2024","77770","St. Louis, MO--IL","2156323","376",,,,,,,,
"City of Nevada","Nevada","MO","70134","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Tri-Valley Developmental Services, dba: Tri Valley Public Transportation","Chanute","KS","70135","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"Delaware, Dubuque & Jackson County Regional Transit Authority, dba: Region 8 Regional Transit Authority","Dubuque","IA","70136","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15",,,,,,,,
"Sunflower Diversified Services, dba: Sunflower Diversified","Great Bend","KS","70137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"East Central Iowa Council of Governments, dba: Corridor Rides","Cedar Rapids","IA","70138","MPO, COG or Other Planning Agency","Reduced Reporter","2024","41590","Iowa City, IA","126810","27",,,,,,,,
"City of Dodge City, dba: Dodge City Public Transportation","Dodge City","KS","70139","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Mississippi County Transit System, Inc.","East Prairie","MO","70140","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6",,,,,,,,
"Pratt County, dba: Pratt County General Public Transportation","Pratt","KS","70141","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Hooker Co, dba: Hooker Co Handi Bus","Mullen","NE","70143","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Chase County, dba: Chase County Public Transportation","Cottonwood Falls","KS","70144","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"OCCK, Inc.","Salina","KS","70145","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"59",,,,,,,,
"Ottawa County, dba: Ottawa County Public Transportation","Minneapolis","KS","70146","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of New Madrid","New Madrid","MO","70147","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Saline County Area Transit","Western","NE","70148","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"City of Carthage","Carthage","MO","70152","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"City of North Platte, dba: North Platte Public Transit","North Platte","NE","70153","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"City of West Plains","West Plains","MO","70155","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Community Concern, dba: North Fork Area Transit","Norfolk","NE","70156","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13",,,,,,,,
"Elk County Council on Aging","Moline","KS","70158","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"City of Excelsior Springs","Excelsior Springs","MO","70162","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Paola Senior Citizen Center, Inc., dba: Paola Public Transportation","Paola","KS","70163","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"Lancaster Co Rural Transit","Lincoln","NE","70164","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"City of Houston, dba: Houston Shuttle","Houston","MO","70165","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Ellsworth County, dba: Ellsworth Council on Aging Public Transportation","Ellsworth","KS","70167","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1",,,,,,,,
"Scott County Transit System, Inc.","Sikeston","MO","70168","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"City of Wilson, dba: Wilson Public Transportation","Wilson","KS","70171","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"City of Clinton","Clinton","IA","70173","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14",,,,,,,,
"City of El Dorado Springs","El Dorado Springs","MO","70177","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Lakemary Center, Inc","Paola","KS","70178","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"McPherson County, dba: McPherson County Transportation","Mcpherson","KS","70179","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"Reno County, dba: Reno County Area Transit","Hutchinson","KS","70180","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"City Of Tecumseh, dba: Tecumseh Area Transit","Tecumseh","NE","70181","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Phelps County Senior Citizen, dba: Phelps County Handi Bus","Holdrege","NE","70182","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Scotts Bluff Public Transit, dba: Tri City Roadrunner","Gering","NE","70183","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"City of Louisburg, dba: Louisburg Area Senior Citizens Center","Louisburg","KS","70184","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"North Iowa Area Council of Governments, dba: Region 2 Transit","Mason City","IA","70185","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"50",,,,,,,,
"Greenwood County, dba: Greenwood County Public Transportation","Eureka","KS","70186","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Twin Rivers Developmental Supports Inc.","Arkansas City","KS","70187","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"City of Fremont","Fremont","NE","70188","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"City of Clinton","Clinton","MO","70189","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Phillipsburg, dba: Phillipsburg General Transportation","Phillipsburg","KS","70191","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Loup City, dba: City of Loup City Handibus","Loup City","NE","70192","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"City of Plainview Handivan","Plainview","NE","70193","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Cambridge Memorial Hospital, dba: Tri Valley Public Transportation","Cambridge","NE","70194","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6",,,,,,,,
"Northeast Iowa Community Action Corporation, dba: Earl Public Transit","Decorah","IA","70195","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23",,,,,,,,
"Republic County, dba: Republic County Transportation","Belleville","KS","70196","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Lane County, dba: Lane County Transportation","Dighton","KS","70197","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Harlan Co. Public Transit","Alma","NE","70198","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Logan County, dba: Logan County Public Transportation","Oakley","KS","70199","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1",,,,,,,,
"Kimball County Public Transit","Kimball","NE","70200","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"21",,,,,,,,
"Independence, Inc.","Lawrence","KS","70201","Private-Non-Profit Corporation","Reduced Reporter","2024","48232","Lawrence, KS","94998","5",,,,,,,,
"Wolf Memorial Good Samaritan Center","Albion","NE","70202","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"Morrill County Handi Bus","Bridgeport","NE","70203","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Anderson County, dba: Anderson County Public Transportation","Garnett","KS","70204","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Blue Valley Community Action Partnership, dba: Fillmore County Transit","Geneva","NE","70205","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"Kingman County, dba: Kingman County Public Transportation","Kingman","KS","70206","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Marshall County","Marysville","KS","70208","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Four County, dba: Four County Transit","Independence","KS","70209","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24",,,,,,,,
"Rice County, dba: Quivira Transit","Lyons","KS","70210","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Lamar","Lamar","MO","70211","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Cedar County Transit","Hartington","NE","70212","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Nemaha County, dba: Nemaha County General Public Transit","Seneca","KS","70213","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"City of Columbus Transit","Columbus","NE","70214","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"City of Goodland, dba: Goodland Public Transportation","Goodland","KS","70215","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Avera Creighton Hospital, dba: Avera Creighton Hospital Transportation Services","Yankton","SD","70216","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Southeast Iowa Regional Planning Commission, dba: Southeast Iowa Bus","West Burlington","IA","70217","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"25",,,,,,,,
"Wabaunsee County","Alma","KS","70218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Region Six Planning Commission, dba: Peoplerides","Marshalltown","IA","70219","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"13",,,,,,,,
"Avera St.Anthony's Hospital, dba: Avera St. Anthony's Hospital Transportation System","Oneill","NE","70220","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Southern Iowa Trolley","Creston","IA","70221","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25",,,,,,,,
"Coffey County","Burlington","KS","70222","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Senior Information Center York, dba: York County Public Transportation","York","NE","70223","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Region 12 Council of Governments, dba: Western Iowa Transit","Carroll","IA","70224","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"49",,,,,,,,
"Franklin County, dba: Franklin County Public Transportation","Ottawa","KS","70225","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"Class LTD","Columbus","KS","70226","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9",,,,,,,,
"City of Liberal, dba: Liberal City Bus","Liberal","KS","70227","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Harper County, dba: Harper County Public Transportation Services","Anthony","KS","70228","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"City Of McCook Public Transit","Mc Cook","NE","70232","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Wayne Public Transit","Wayne","NE","70233","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Cowley County, dba: Cowley County Public Transportation","Winfield","KS","70235","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Harvey County, dba: Harvey Interurban Transportation","Newton","KS","70238","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Regional Transit Authority, dba: Rides","Spencer","IA","70240","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"58",,,,,,,,
"City of Russell, dba: The Russell Ride","Russell","KS","70241","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"10-15 Regional Transit Agency, dba: 10-15 Transit","Ottumwa","IA","70242","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"93",,,,,,,,
"City of Benkelman","Benkelman","NE","70244","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Community Senior Service Center, dba: Community Senior Service Center Transportation","Osawatomie","KS","70245","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"Seward County Public Transit","Seward","NE","70246","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Crawford, dba: Crawford Public Transportation","Crawford","NE","70247","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Lyon County, dba: Lyon County Transportation","Emporia","KS","70248","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Clay County Task Force","Clay Center","KS","70250","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"The Guidance Center","Leavenworth","KS","70251","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Saunders County Transportation","Wahoo","NE","70253","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Solomon Valley, dba: Solomon Valley Transportation","Beloit","KS","70255","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Mid Iowa Development Association Council of Governments, dba: MIDAS Council of Governments","Fort Dodge","IA","70256","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"14",,,,,,,,
"Macon Area Chamber of Commerce","Macon","MO","70257","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1",,,,,,,,
"Southwest Iowa Planning Council, dba: Southwest Iowa Transit Agency","Atlantic","IA","70258","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"73",,,,,,,,
"Futures Unlimited, dba: Wellington Area Local Transit","Wellington","KS","70259","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"City of Mason City, dba: Mason City Transit","Mason City","IA","70260","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"SERVE, Inc.","Fulton","MO","70263","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12",,,,,,,,
"City of Chadron","Chadron","NE","70265","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"City of Kingman, dba: Kingman General Public Transportation","Kingman","KS","70266","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Project Concern, dba: Project Concern Public Transportation","Atchison","KS","70267","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"Gove County, dba: Gove County Public Transportation","Quinter","KS","70268","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"Kansas City, City of Missouri, dba: Kansas City Streetcar","Kansas City","MO","70271","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","43912","Kansas City, MO--KS","1674218","4",,,,,,,,
"Sac and Fox Nation of Missouri, dba: General Public Transportation","Hiawatha","KS","70273","Tribe","Reduced Reporter","2024","00020","Kansas Non-UZA","1388420","3",,,,,,,,
"City of Grand Island, dba: Central Ride Agency of Nebraska","Grand Island","NE","70274","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34246","Grand Island, NE","55099","15",,,,,,,,
"Nebraska Department of Transportation","Lincoln","NE","70275","State Government Unit or Department of Transportation","Full Reporter","2024","65269","Omaha, NE--IA","819508","28",,,,,,,,
"Linn County, dba: LIFTS","Cedar Rapids","IA","70277","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14752","Cedar Rapids, IA","192844","20",,,,,,,,
"Ponca Tribe of Nebraska, dba: Ponca Express","Niobrara","NE","77063","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","16",,,,,,,,
"Santee Sioux Nation","Niobrara","NE","77069","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","1",,,,,,,,
"Prairie Band Potawatomi Nation, dba: PBPN General Public Transportation","Mayetta","KS","77075","Tribe","Reduced Reporter","2024","00020","Kansas Non-UZA","1388420","8",,,,,,,,
"Rawlins County, dba: Rawlins County Public Transportation","Atwood","KS","77076","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Omaha Tribe of Nebraska, dba: Omaha Tribe Public Transit","Macy","NE","77077","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","7",,,,,,,,
"Garden County, dba: Garden County Public Transit","Oshkosh","NE","77078","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Northeast Kansas Area Agency on Aging, dba: NEKAAA General Public Transportation","Hiawatha","KS","77079","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Cheyenne County, dba: Cheyenne County Public Transportation","St Francis","KS","77082","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Multi Community Diversified Services, Inc.","Mcpherson","KS","77083","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Nance Trans","Fullerton","NE","77085","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"New Bourbon Regional Port Authority","Perryville","MO","77086","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Callaway District Hospital, dba: Callaway District Hospital Public Transportation","Callaway","NE","77087","Other Publicly-Owned or Privately Chartered Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"Jones County, dba: Jones County Jets","Anamosa","IA","77089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Benton County, dba: Benton County Transportation","Vinton","IA","77090","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Washington County, dba: Washington County Mini Bus","Washington","IA","77091","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14",,,,,,,,
"Iowa County, dba: Iowa County Transportation","Marengo","IA","77092","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"St. Francis Services, LLC, dba: JOYRIDE Public Transit","West Point","NE","77093","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"Community Health Center of Southeast Kansas Inc, dba: CareVan","Pittsburg","KS","77094","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"Utah Transit Authority","Salt Lake City","UT","80001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78499","Salt Lake City, UT","1178533","1054",,,,,,,,
"City of Sioux Falls, dba: Sioux Area Metro","Sioux Falls","SD","80002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","82252","Sioux Falls, SD","194283","36",,,,,,,,
"City of Fargo, dba: Metropolitan Area Transit","Fargo","ND","80003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","29089","Fargo, ND--MN","216214","40",,,,,,,,
"City of Billings, dba: Billings Metropolitan Transit System","Billings","MT","80004","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","07705","Billings, MT","128787","27",,,,,,,,
"City of Colorado Springs, dba: Mountain Metropolitan Transit","Colorado Springs","CO","80005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","18856","Colorado Springs, CO","632494","103",,,,,,,,
"Denver Regional Transportation District, dba: RTD-Denver","Denver","CO","80006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","23527","Denver--Aurora, CO","2686147","1011",,"857411125",,,,,,"857411125"
"City of Pueblo, dba: Pueblo Transit","Pueblo","CO","80007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","72613","Pueblo, CO","120642","26",,,,,,,,
"City of Grand Forks","Grand Forks","ND","80008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","34219","Grand Forks, ND--MN","68160","24",,,,,,,,
"Missoula Urban Transportation District, dba: Mountain Line","Missoula","MT","80009","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","57736","Missoula, MT","88109","37",,,,,,,,
"Greeley, City Of, dba: Greeley Evans Transit","Greeley","CO","80010","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34786","Greeley, CO","137222","30",,,,,,,,
"City of Fort Collins, dba: Transfort","Fort Collins","CO","80011","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","30628","Fort Collins, CO","326332","47",,,,,,,,
"Great Falls Transit District","Great Falls","MT","80012","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","34759","Great Falls, MT","67097","24",,,"2437111",,,,,"2437111"
"City of Casper, dba: Casper Area Transit","Casper","WY","80013","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14482","Casper, WY","67751","24",,,,,,,,
"City of Rapid City, dba: Rapid Transit System","Rapid City","SD","80014","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73396","Rapid City, SD","85679","18",,,,,,,,
"Shoshone and Arapaho Tribes, dba: Shoshone Arapaho Tribal Transit","Fort Washakie","WY","80015","Tribe","Reduced Reporter","2024","00056","Wyoming Non-UZA","429850","5",,,,,,,,
"County of Mesa, dba: Grand Valley Transit","Grand Junction","CO","80016","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34273","Grand Junction, CO","135973","19",,,,,,,,
"Southern Ute Indian Tribe","Ignacio","CO","80017","Tribe","Reduced Reporter","2024","00008","Colorado Non-UZA","1331465","0",,,,,,,,
"Fort Peck Tribes, dba: Fort Peck Transit Dial-A-Ride","Wolf Point","MT","80018","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","10",,,,,,,,
"Bis-Man Transit Board, dba: Bis-Man Transit","Bismarck","ND","80019","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","07921","Bismarck, ND","98198","24",,,,,,,,
"The City of Cheyenne, dba: Cheyenne Transit Program","Cheyenne","WY","80020","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16237","Cheyenne, WY","79250","14",,,,,,,,
"City of Loveland, Colorado, dba: City of Loveland Transit","Loveland","CO","80025","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","30628","Fort Collins, CO","326332","10",,,,,,,,
"City of St. George, dba: SunTran","Saint George","UT","80026","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77446","St. George, UT","134109","10",,,,,,,,
"Cache Valley Transit District, dba: Connect Transit","North Logan","UT","80028","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","50959","Logan, UT","113927","33",,"7798538",,,,,,"7798538"
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo","Fort Collins","CO","80106","MPO, COG or Other Planning Agency","Full Reporter","2024","30628","Fort Collins, CO","326332","22",,,,,,,,
"University of Montana, dba: ASUM Transportation","Missoula","MT","80107","University","Full Reporter","2024","57736","Missoula, MT","88109","5",,,,,,,,
"Denver Regional Council of Governments","Denver","CO","80109","MPO, COG or Other Planning Agency","Full Reporter","2024","23527","Denver--Aurora, CO","2686147","78",,,,,,,,
"Fargo Park District, dba: Valley Senior Services","Fargo","ND","80110","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","29089","Fargo, ND--MN","216214","23",,,,,,,,
"SESDAC, Inc, dba: Vermillion Public Transit","Vermillion","SD","80112","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Stark County Council on Aging / Elder Care, dba: Dickinson Public Transit","Dickinson","ND","80114","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13",,,,,,,,
"Prowers County, dba: Prowers Area Transit","Lamar","CO","80115","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"City of Mitchell, dba: Palace Transit","Mitchell","SD","80116","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Garfield County, dba: Big Dry Transit","Jordan","MT","80117","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Black Hawk, dba: The Black Hawk & Central City Tramway","Black Hawk","CO","80119","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"South Big Horn Senior Citizens, Inc., dba: South Big Horn Senior Citizens Center","Greybull","WY","80120","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"Fremont County Association of Governments, dba: Wind River Transportation Authority","Riverton","WY","80121","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"9",,,,,,,,
"Devils Lake, dba: Devils Lake Transit","Devils Lake","ND","80122","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6",,,,,,,,
"James River Senior Citizens Center, Inc., dba: JRSC Center & Public Transit","Jamestown","ND","80124","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"South Central Adult Services","Valley City","ND","80125","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"49",,,,,,,,
"City of Aberdeen, dba: Ride Line Transportation Services","Aberdeen","SD","80126","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15",,,,,,,,
"Pembina County Meals and Transportation","Drayton","ND","80129","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
