"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"Los Angeles County Metropolitan Transportation Authority, dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2722","427696938","574104159","0","1200000","0","8418672","1011419769"
"City of Vacaville, dba: City Coach","Vacaville","CA","90155","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","89866","Vacaville, CA","101027","14","8830308","0","0","0","0","0","8830308"
"City of San Luis Obispo, dba: SLO Transit","San Luis Obispo","CA","90156","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","79147","San Luis Obispo, CA","56904","18","4111622","0","0","0","0","0","4111622"
"Access Services","El Monte","CA","90157","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","1047","82429060","0","0","12169942","0","0","94599002"
"Western Contra Costa Transit Authority, dba: WestCAT","Pinole","CA","90159","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78904","San Francisco--Oakland, CA","3515933","33","631156","0","0","0","0","0","631156"
"City of Union City, dba: Union City Transit","Union City","CA","90161","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","78904","San Francisco--Oakland, CA","3515933","21","0","0","0","0","0","0","0"
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit","Antioch","CA","90162","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","02683","Antioch, CA","326205","97","3092104","0","99689","104415","0","0","3296208"
"City of Camarillo, dba: Camarillo Area Transit","Camarillo","CA","90163","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","12754","Camarillo, CA","76338","18","2177348","0","0","0","0","0","2177348"
"Ventura County Transportation Commission","Camarillo","CA","90164","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","66673","Oxnard--San Buenaventura (Ventura), CA","376117","42","4622564","0","390779","0","0","0","5013343"
"City of Thousand Oaks, dba: Thousand Oaks Transit","Thousand Oaks","CA","90165","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","87490","Thousand Oaks, CA","213986","21","1832669","0","0","49976","0","0","1882645"
"City of Davis, dba: Davis Community Transit","Davis","CA","90167","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22420","Davis, CA","77034","3","0","0","0","0","0","0","0"
"City of Roseville","Roseville","CA","90168","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77068","Sacramento, CA","1946618","24","1665851","0","0","0","0","0","1665851"
"City of Santa Clarita, dba: Santa Clarita Transit","Santa Clarita","CA","90171","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","79309","Santa Clarita, CA","278031","88","15450312","0","0","272872","0","344758","16067942"
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus","Merced","CA","90173","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","56251","Merced, CA","150052","45","5417986","0","2018088","0","98969","0","7535043"
"City of Lodi, dba: GrapeLine","Lodi","CA","90175","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","50851","Lodi, CA","73090","13","3667068","0","0","0","0","0","3667068"
"Altamont Corridor Express","Stockton","CA","90182","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","85087","Stockton, CA","414847","28","4263307","8260443","0","624315","0","0","13148065"
"Town of Oro Valley, dba: Sun Shuttle Dial-A-Ride","Oro Valley","AZ","90191","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","88732","Tucson, AZ","875441","30","318996","0","0","536149","0","0","855145"
"City of Atascadero","Atascadero","CA","90194","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","27261","El Paso de Robles (Paso Robles)--Atascadero, CA","67804","2","213572","0","0","0","0","0","213572"
"County of Placer, dba: Placer County Transit/TART","Auburn","CA","90196","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","77068","Sacramento, CA","1946618","42","4128980","0","980868","0","0","0","5109848"
"City of Tracy, dba: TRACER","Tracy","CA","90197","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","88280","Tracy--Mountain House, CA","120912","15","3015511","0","0","0","0","0","3015511"
"City of Porterville, dba: Porterville Transit","Porterville","CA","90198","City, County or Local Government Unit or Department of Transportation","Building Reporter","2024","71074","Porterville, CA","69862","0","0","0","0","0","0","0","0"
"City of Madera, dba: Madera Metro","Madera","CA","90199","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","52984","Madera, CA","81635","22","1733607","0","0","0","0","0","1733607"
"Kings County Area Public Transit Agency","Hanford","CA","90200","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","36703","Hanford, CA","66638","68","11420492","0","1171285","0","0","0","12591777"
"City of Turlock, dba: Turlock Transit","Turlock","CA","90201","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","89083","Turlock, CA","79203","13","3198418","0","0","0","0","0","3198418"
"San Luis Obispo Regional Transit Authority","San Luis Obispo","CA","90206","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79147","San Luis Obispo, CA","56904","38","8598152","0","1413270","0","0","0","10011422"
"Butte County Association of Governments, dba: Butte Regional Transit/B-Line","Chico","CA","90208","MPO, COG or Other Planning Agency","Full Reporter","2024","16318","Chico, CA","111411","37","3730075","0","1635189","0","0","0","5365264"
"Valley Metro Rail, Inc.","Phoenix","AZ","90209","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","69184","Phoenix--Mesa--Scottsdale, AZ","3976313","37","5512582","108147496","0","0","0","0","113660078"
"Anaheim Transportation Network, dba: Anaheim Regional Transportation","Anaheim","CA","90211","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","62","905545","0","0","0","0","0","905545"
"City of Petaluma, dba: Petaluma Transit","Petaluma","CA","90213","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","68887","Petaluma, CA","65227","11","244136","0","0","0","0","0","244136"
"City of Redondo Beach, dba: Beach Cities Transit","Redondo Beach","CA","90214","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","17","2462965","0","0","0","0","0","2462965"
"Carson Area Metropolitan Planning Organization","Carson City","NV","90215","MPO, COG or Other Planning Agency","Reduced Reporter","2024","14158","Carson City, NV","61629","10","1077866","0","0","342770","0","0","1420636"
"County of Sacramento Municipal Services Agency, dba: South County Transit","Sacramento","CA","90216","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77068","Sacramento, CA","1946618","12","0","0","429278","0","0","0","429278"
"City of Manteca, dba: Manteca Transit","Manteca","CA","90217","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","54145","Manteca, CA","86674","6","2814154","0","0","0","0","0","2814154"
"Riverside County Transportation Commission","Riverside","CA","90218","MPO, COG or Other Planning Agency","Full Reporter","2024","75340","Riverside--San Bernardino, CA","2276703","37","133815","0","0","0","77511","0","211326"
"Northern Arizona Intergovernmental Public Transportation Authority, dba: Mountain Line","Flagstaff","AZ","90219","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","29818","Flagstaff, AZ","79842","33","16354490","0","48749","114838","0","0","16518077"
"Pima Association of Governments","Tucson","AZ","90222","MPO, COG or Other Planning Agency","Full Reporter","2024","88732","Tucson, AZ","875441","20","0","0","0","0","0","67944","67944"
"Paratransit, Inc.","Sacramento","CA","90223","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","77068","Sacramento, CA","1946618","38","0","0","0","0","0","64234","64234"
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry","San Francisco","CA","90225","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78904","San Francisco--Oakland, CA","3515933","11","29941740","8627611","0","0","0","1145242","39714593"
"Imperial County Transportation Commission","El Centro","CA","90226","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","26405","El Centro, CA","74376","38","2999044","0","424854","0","0","0","3423898"
"City of Moorpark, dba: Moorpark City Transit","Moorpark","CA","90227","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","87490","Thousand Oaks, CA","213986","2","303622","0","0","0","0","0","303622"
"El Dorado County Transit Authority, dba: El Dorado Transit","Diamond Springs","CA","90229","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","77068","Sacramento, CA","1946618","18","189221","0","900352","167671","0","0","1257244"
"California Vanpool Authority, dba: CalVans","Visalia","CA","90230","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","90946","Visalia, CA","160578","736","0","0","0","2280","0","0","2280"
"Solano County Transit, dba: SolTrans","Vallejo","CA","90232","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","90028","Vallejo, CA","175132","37","10615706","0","0","0","0","0","10615706"
"Yuma County Intergovernmental Public Transportation Authority, dba: Yuma County Area Transit","Yuma","AZ","90233","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","98020","Yuma, AZ--CA","135717","55","2036620","0","1196973","0","0","0","3233593"
"Marin County Transit District, dba: Marin Transit","San Rafael","CA","90234","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78904","San Francisco--Oakland, CA","3515933","72","2607530","0","413","201250","0","0","2809193"
"County of Kaua'i, dba: Kaua'i Bus","Lihue","HI","90237","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","2319393","0","1985328","0","0","0","4304721"
"City of Delano, dba: Delano Area Rapid Transit","Delano","CA","90238","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00006","California Non-UZA","4357850","9","1978177","0","0","0","0","0","1978177"
"City of Sierra Vista, dba: Vista Transit","Sierra Vista","AZ","90239","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","81901","Sierra Vista, AZ","54274","7","1281755","0","0","0","0","0","1281755"
"County of Maui","Wailuku","HI","90241","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","43615","Kahului--Wailuku, HI","57905","62","0","0","84000","125924","0","0","209924"
"Easy Lift Transportation","Goleta","CA","90243","Private-Non-Profit Corporation","Reduced Reporter","2024","79282","Santa Barbara, CA","202197","28","0","0","0","24598","0","0","24598"
"City of Agoura Hills","Agoura Hills","CA","90246","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","87490","Thousand Oaks, CA","213986","2","0","0","0","0","0","0","0"
"City of Alhambra, dba: Alhambra Community Transit","Alhambra","CA","90247","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","19","0","0","0","0","0","0","0"
"City of Avalon, dba: Avalon Transit","Avalon","CA","90249","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00006","California Non-UZA","4357850","9","0","0","0","0","0","0","0"
"City of Azusa","Azusa","CA","90250","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","6","0","0","0","0","0","0","0"
"City of Baldwin Park, dba: Baldwin Park Transit","Baldwin Park","CA","90251","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","0","0","0","0","0","0","0"
"City of Bell","Bell","CA","90252","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","10","0","0","0","0","0","0","0"
"City of Bell Gardens","Bell","CA","90253","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","6","0","0","0","58971","0","0","58971"
"City of Bellflower","Bellflower","CA","90254","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","4","0","0","0","0","0","0","0"
"City of Beverly Hills, dba: Beverly Hills Dial-A-Ride","Beverly Hills","CA","90255","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","4","0","0","0","0","0","0","0"
"City of Burbank","Burbank","CA","90256","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","17","0","0","0","0","0","0","0"
"City of Calabasas","Calabasas","CA","90257","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","0","0","0","0","0","0","0"
"City of Carson","Carson","CA","90258","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","19","0","0","0","0","0","0","0"
"City of Cerritos, dba: Cerritos Transit Services","Cerritos","CA","90259","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","16","0","0","0","0","0","0","0"
"City of Compton, dba: Compton Renaissance Transit Service","Compton","CA","90260","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","5","0","0","0","0","0","0","0"
"City of Covina","Covina","CA","90261","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","5","0","0","0","0","0","0","0"
"City of Cudahy, dba: Cudahy Area Rapid Transit","Cudahy","CA","90262","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","6","0","0","0","0","0","0","0"
"City of Downey","Downey","CA","90263","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","15","0","0","0","0","0","0","0"
"City of El Monte","El Monte","CA","90265","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","14","0","0","0","0","0","0","0"
"City of Glendora","Glendora","CA","90266","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","10","0","0","0","140000","0","0","140000"
"City of Huntington Park","Huntington Park","CA","90267","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","16","0","0","0","0","0","0","0"
"City of Inglewood, dba: Inglewood Senior Center","Inglewood","CA","90268","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","9","0","0","0","0","0","0","0"
"Los Angeles County, dba: LA County Public Works","Alhambra","CA","90269","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90270","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","1","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90271","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","16","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90272","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","1","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90273","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90274","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90275","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","1","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90276","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","5","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90277","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","10","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90278","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","3","0","0","0","0","0","0","0"
"Los Angeles County","Alhambra","CA","90279","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","3","0","0","0","0","0","0","0"
"City of Lynwood, dba: Lynwood Breeze","Lynwood","CA","90281","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","4","0","0","0","0","0","0","0"
"City of Malibu","Malibu","CA","90282","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2","0","0","0","0","0","0","0"
"City of Manhattan Beach, dba: City of Manhattan Beach Dial-A-Ride","Manhattan Beach","CA","90283","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","3","0","0","0","0","0","0","0"
"City of Maywood","Maywood","CA","90284","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","5","0","0","0","0","0","0","0"
"City of Monrovia, dba: GoMonrovia","Monrovia","CA","90285","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","4","0","0","0","600000","0","0","600000"
"City of Monterey Park, dba: Spirit Bus","Montery Park","CA","90286","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","12","0","0","0","0","0","0","0"
"Palos Verdes Peninsula Transit Authority","Rolling Hills","CA","90287","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","27","0","0","0","0","0","0","0"
"City of Pico Rivera","Pico Rivera","CA","90288","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2","0","0","0","0","0","0","0"
"City of Rosemead, dba: Rosemead Explorer/Dial-A-Ride","Rosemead","CA","90289","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","7","0","0","0","0","0","0","0"
"City of Santa Fe Springs","Santa Fe Springs","CA","90290","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2","0","0","0","0","0","0","0"
"City of South Gate","South Gate","CA","90291","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","15","0","0","0","0","0","0","0"
"City of South Pasadena","South Pasadena","CA","90292","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","4","0","0","0","0","0","0","0"
"City of West Covina","West Covina","CA","90293","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","0","0","0","0","0","0","0"
"City of West Hollywood","West Hollywood","CA","90294","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","9","0","0","0","9232","0","0","9232"
"City of Whittier","Whittier","CA","90295","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","10","0","0","0","378692","0","0","378692"
"City of Claremont","Claremont","CA","90296","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","17","0","0","0","0","0","0","0"
"County of Ventura","Ventura","CA","90298","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","87490","Thousand Oaks, CA","213986","4","0","0","0","0","0","0","0"
"Sonoma-Marin Area Rail Transit District","Petaluma","CA","90299","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79498","Santa Rosa, CA","297329","14","5172445","0","0","0","29046","0","5201491"
"City of Artesia","Artesia","CA","90300","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","6","0","0","0","0","0","0","0"
"City of Lakewood, dba: DASH Transit","Lakewood","CA","90301","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","12","0","0","0","0","0","0","0"
"San Bernardino County Transportation Authority","San Bernardino","CA","90302","MPO, COG or Other Planning Agency","Full Reporter","2024","75340","Riverside--San Bernardino, CA","2276703","79","608570","17747679","0","0","0","0","18356249"
"Santa Barbara County Association of Governments, dba: Clean Air Express","Santa Barbara","CA","90303","MPO, COG or Other Planning Agency","Full Reporter","2024","79282","Santa Barbara, CA","202197","10","0","0","577069","0","0","0","577069"
"Lake Havasu City, dba: Lake Havasu City Transit","Lake Havasu City","AZ","90305","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","46747","Lake Havasu City, AZ","59017","7","869420","0","0","0","0","0","869420"
"Stanislaus Regional Transit Authority","Modesto","CA","90306","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","58006","Modesto, CA","357301","108","13333247","0","2013360","0","0","0","15346607"
"Town of Prescott Valley, dba: YavaLine Regional Transit System","Prescott Valley","AZ","90307","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","72112","Prescott--Prescott Valley, AZ","92427","6","1325853","0","0","0","0","0","1325853"
"City of Casa Grande, dba: Casa Grande LINK","Casa Grande","AZ","90309","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14401","Casa Grande, AZ","50981","3","590368","0","0","0","0","0","590368"
"Tulare County Regional Transit Agency","Visalia","CA","90310","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","90946","Visalia, CA","160578","45","6091041","0","2394847","0","0","0","8485888"
"Stanislaus Council of Governments, dba: StanisCruise","Modesto","CA","90311","MPO, COG or Other Planning Agency","Full Reporter","2024","58006","Modesto, CA","357301","100","0","0","0","0","410300","0","410300"
"Sacramento Area Council of Governments","Sacramento","CA","90312","MPO, COG or Other Planning Agency","Planning Reporter","2024","77068","Sacramento, CA","1946618","0","643536","0","0","1546504","7067225","48051","9305316"
"City of Clovis, dba: Clovis Transit","Clovis","CA","90313","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","31843","Fresno, CA","717589","35","0","0","0","0","0","0","0"
"Attentive Transportation LLC","Sacramento","CA","90314","Private-For-Profit Corporation","Reduced Reporter","2024","77068","Sacramento, CA","1946618","1","0","0","0","0","0","0","0"
"City of Avondale, dba: WeRIDE","Avondale","AZ","90315","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","69192","Phoenix West--Goodyear--Avondale, AZ","419946","13","500000","0","0","0","0","0","500000"
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System","Tamuning","GU","90999","State Government Unit or Department of Transportation","Reduced Reporter","2024","22811","Dededo--Apotgan--Tamuning, GU","128164","15","0","0","0","0","0","0","0"
"Amador Transit","Jackson","CA","91000","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","0","0","554425","241058","0","0","795483"
"City of Show Low, dba: Four Seasons Connection","Show Low","AZ","91001","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","592535","0","0","0","592535"
"City of Corcoran, dba: Corcoran Area Transit","Corcoran","CA","91002","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","168809","0","0","0","168809"
"Port of Administration Authority","Pago Pago","AS","91004","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0"
"Madera County, dba: Madera County Connection","Madera","CA","91005","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","52984","Madera, CA","81635","9","350114","0","849455","0","0","0","1199569"
"City of Ridgecrest, dba: Ridgerunner","Ridgecrest","CA","91006","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","208375","0","812152","0","1020527"
"Fresno County Rural Transit Agency","Fresno","CA","91007","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"65","4358356","0","3017640","0","0","0","7375996"
"Modoc Transportation Agency, dba: Sage Stage","Alturas","CA","91008","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"3","0","0","358943","0","0","0","358943"
"San Benito County Local Transportation Authority, dba: San Benito County Express","Hollister","CA","91009","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"19","0","0","1185418","0","0","0","1185418"
"City of Cottonwood, dba: Cottonwood Area Transit","Cottonwood","AZ","91010","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","1731374","0","0","0","1731374"
"Mountain Area Regional Transit Authority, dba: Mountain Transit","Big Bear Lake","CA","91012","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32","0","0","2483152","0","0","0","2483152"
"City of Rio Vista, dba: Rio Vista Delta Breeze","Rio Vista","CA","91014","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","150000","300000","0","0","450000"
"Helping Hands Agency, Inc., dba: Express Public Transportation","Page","AZ","91016","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","515667","0","0","0","515667"
"City of Arcata, dba: Arcata & Mad River Transit System","Arcata","CA","91018","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0"
"City of Needles, dba: Needles Area Transit","Needles","CA","91020","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","53315","0","0","0","53315"
"Lincoln County","Pioche","NV","91022","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","38926","0","0","0","38926"
"Humboldt County, dba: Senior Citizens of Humboldt County, Inc","Winnemucca","NV","91023","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","182849","0","197495","0","0","0","380344"
"City of Arvin, dba: Arvin Transit","Arvin","CA","91027","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","155019","0","0","0","155019"
"City of Solvang, dba: Santa Ynez Valley Transit","Solvang","CA","91028","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","285417","0","0","0","285417"
"Nye County","Tonopah","NV","91029","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","74961","0","0","0","74961"
"City of Auburn, dba: Auburn Transit","Auburn","CA","91032","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","80062","0","0","0","80062"
"Trinity County, dba: Trinity Transit","Weaverville","CA","91035","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","637603","0","0","0","637603"
"Humboldt Transit Authority","Eureka","CA","91036","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"22","0","0","1061410","0","0","0","1061410"
"City of Bullhead, dba: Bullhead Area Transit System","Bullhead City","AZ","91037","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","11431","Bullhead City, AZ--NV","54396","13","0","0","962179","0","0","0","962179"
