"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"Rapides Area Planning Commission","Alexandria","LA","66346","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","2977","2977",
"Tunica-Biloxi Tribe of Louisiana Tribal Office","Marksville","LA","66348","Tribe","Reduced Reporter","2024","00022","Louisiana Non-UZA","1763723","3","0","0","0","0",
"City of Lincoln, dba: StarTran","Lincoln","NE","70001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","49933","Lincoln, NE","291217","74","0","532791","0","532791",
"Transit Authority of Omaha, dba: Metro","Omaha","NE","70002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65269","Omaha, NE--IA","819508","101","387684","0","0","387684",
"City of Springfield, dba: City Utilities of Springfield MO","Springfield","MO","70003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","83953","Springfield, MO","282651","22","178517","0","0","178517",
"Winnebago Tribe of Nebraska","Winnebago","NE","70004","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","2","0","0","0","0",
"Kansas City Area Transportation Authority","Kansas City","MO","70005","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","43912","Kansas City, MO--KS","1674218","307","189830","3458292","0","3648122",
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro","Saint Louis","MO","70006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","77770","St. Louis, MO--IL","2156323","426","4951770","0","0","4951770",
"City of Bettendorf, dba: Bettendorf Transit System","Bettendorf","IA","70007","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22366","Davenport, IA--IL","285211","3","0","0","245840","245840",
"City of Cedar Rapids, dba: Cedar Rapids Transit","Cedar Rapids","IA","70008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","14752","Cedar Rapids, IA","192844","25","242155","783226","0","1025381",
"City of Davenport, dba: Davenport Citibus","Davenport","IA","70009","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22366","Davenport, IA--IL","285211","15","0","0","632714","632714",
"Des Moines Area Regional Transit Authority","Des Moines","IA","70010","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","23743","Des Moines, IA","542486","140","0","2409141","0","2409141",
"City of Dubuque, dba: The Jule","Dubuque","IA","70011","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","24823","Dubuque, IA--IL","70332","19","0","0","413255","413255",
"City of Sioux City, dba: Sioux City Transit System","Sioux City","IA","70012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","82225","Sioux City, IA--NE--SD","113066","28","0","531139","0","531139",
"Metropolitan Transit Authority of Black Hawk County, dba: MET Transit","Waterloo","IA","70013","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","92593","Waterloo, IA","114139","27","0","0","413613","413613",
"Topeka Metropolitan Transit Authority, dba: Topeka Metro","Topeka","KS","70014","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88084","Topeka, KS","148956","35","807433","72818","0","880251",
"City of Wichita, dba: Wichita Transit","Wichita","KS","70015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","95077","Wichita, KS","500231","63","0","1434379","0","1434379",
"City of Columbia, dba: GoCOMO","Columbia","MO","70016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","18937","Columbia, MO","141831","24","0","233625","0","233625",
"City of Iowa City, dba: Iowa City Transit","Iowa City","IA","70018","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","41590","Iowa City, IA","126810","21","0","807853","0","807853",
"University of Iowa","Iowa City","IA","70019","University","Full Reporter","2024","41590","Iowa City, IA","126810","28","924119","0","0","924119",
"City of Coralville, dba: Coralville Transit System","Coralville","IA","70030","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","41590","Iowa City, IA","126810","7","343348","0","0","343348",
"City of St. Joseph, Missouri, dba: St Joseph Transit","Saint Joseph","MO","70032","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77743","St. Joseph, MO--KS","77187","16","0","0","178841","178841",
"Johnson County Kansas, dba: Johnson County Transit","Olathe","KS","70035","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","43912","Kansas City, MO--KS","1674218","109","1224453","0","0","1224453",
"City of Joplin, dba: Metro Area Public Transit System","Joplin","MO","70040","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","43399","Joplin, MO","86679","8","0","0","126971","126971",
"Ames Transit Agency, dba: CyRide","Ames","IA","70041","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02062","Ames, IA","66342","62","1886336","1226452","0","3112788",
"City of Jefferson, dba: JEFFTRAN","Jefferson City","MO","70043","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","42967","Jefferson City, MO","50775","18","0","0","534159","534159",
"University of Kansas, dba: KU Transportation Services","Lawrence","KS","70044","University","Full Reporter","2024","48232","Lawrence, KS","94998","21","0","0","0","0",
"County of Johnson, Iowa, dba: Johnson County SEATS","Iowa City","IA","70045","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","41590","Iowa City, IA","126810","22","0","0","0","0",
"City of Independence, dba: IndeBus","Independence","MO","70046","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","43912","Kansas City, MO--KS","1674218","12","0","0","241301","241301",
"Unified Government of Wyandotte County and Kansas City, KS, dba: RideKC","Kansas City","KS","70047","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","43912","Kansas City, MO--KS","1674218","23","0","0","965358","965358",
"City of Lawrence, dba: Lawrence Transit","Lawrence","KS","70048","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","48232","Lawrence, KS","94998","44","0","1623301","0","1623301",
"River Bend Transit","Davenport","IA","70049","Private-Non-Profit Corporation","Full Reporter","2024","22366","Davenport, IA--IL","285211","36","0","702559","0","702559",
"Southeast Missouri State University, dba: Southeast Transit Service","Cape Girardeau","MO","70050","University","Reduced Reporter","2024","13537","Cape Girardeau, MO--IL","55546","5","0","0","0","0",
"Cape Girardeau County Transit Authority","Cape Girardeau","MO","70051","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","13537","Cape Girardeau, MO--IL","55546","28","0","0","134549","134549",
"Senior Citizen Industries, dba: Central Ride Agency of Nebraska","Grand Island","NE","70052","Private-Non-Profit Corporation","Reduced Reporter","2024","34246","Grand Island, NE","55099","15","0","0","243050","243050",
"Flint Hills Area Transportation Agency, Inc, dba: ATABUS","Manhattan","KS","70053","Private-Non-Profit Corporation","Reduced Reporter","2024","53848","Manhattan, KS","60454","20","0","0","534899","534899",
"County of Sedgwick, dba: Sedgwick County Transportation","Wichita","KS","70054","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","95077","Wichita, KS","500231","7","0","0","78785","78785",
"City of Derby, dba: Derby Dash Public Transportation","Derby","KS","70055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","95077","Wichita, KS","500231","1","0","0","0","0",
"Butler, County of, dba: Butler County Transit Program","El Dorado","KS","70056","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","95077","Wichita, KS","500231","7","0","0","45649","45649",
"Loop Trolley Transportation Development District","Saint Louis","MO","70057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","77770","St. Louis, MO--IL","2156323","1","0","0","0","0",
"Senior Services Inc., dba: Open Plains Transit","Alliance","NE","70058","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","34874","34874",
"Developmental Services of Northwest Kansas, Inc., dba: Access Transportation","Hays","KS","70060","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","120713","120713",
"Thomas County, dba: Thomas County Transportation Van","Colby","KS","70062","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","10409","10409",
"Dunklin County Transit Service, Inc.","Malden","MO","70063","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","0","0","30699","30699",
"Iowa Northland Regional Council of Governments, dba: Iowa Northland Regional Transportation Authority","Waterloo","IA","70064","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"19","0","0","340618","340618",
"Heart of Iowa Regional Transit Agency, dba: HIRTA Public Transit","Urbandale","IA","70066","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","02062","Ames, IA","66342","30","0","324987","0","324987",
"City of Bloomfield","Bloomfield","MO","70067","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","7257","7257",
"Schuyler, dba: Schuyler Public Transit","Schuyler","NE","70069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","14099","14099",
"Finney County, dba: Finney County Public Transit","Garden City","KS","70070","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","203490","203490",
"Morris County, dba: Morris County General Public Transportation","Council Grove","KS","70072","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","26400","26400",
"Midland Area Agency, dba: Midland Public Transit","Hastings","NE","70073","Area Agency on Aging","Rural Reporter","2024",,,,"15","0","0","102543","102543",
"City Of Sidney, dba: City of Sidney Public Transportation","Sidney","NE","70074","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","63289","63289",
"Blue River AAA, dba: Blue Rivers Public Transportation","Beatrice","NE","70076","Area Agency on Aging","Rural Reporter","2024",,,,"11","0","0","159124","159124",
"Southeast Kansas Community Action Program","Girard","KS","70078","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","137282","137282",
"Grant County, dba: Grant/Arthur Handibus","Hyannis","NE","70079","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","836","836",
"Mid-Nebraska Community Action, dba: Reach Your Destination Easily","Kearney","NE","70081","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"38","0","0","388334","388334",
"Norton County Senior Citizens, dba: Norton Co Senior Citizens Public Transportation","Norton","KS","70084","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","9399","9399",
"City of Mount Vernon","Mount Vernon","MO","70085","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","10742","10742",
"Rush County, dba: Rush County Public Transportation","La Crosse","KS","70086","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","13619","13619",
"Lincoln County, dba: Lincoln County Public Transportation","Lincoln","KS","70087","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","13941","13941",
"Rooks County, dba: Rooks County Health Center","Plainville","KS","70088","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","22997","22997",
"City of Bonner Springs, dba: Tiblow Transit","Bonner Springs","KS","70089","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","43912","Kansas City, MO--KS","1674218","4","0","0","12166","12166",
"Southeast Missouri Transportation, Inc.","Fredericktown","MO","70091","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"164","0","0","430185","430185",
"City of Marshalltown, dba: Marshalltown Municipal Transit","Marshalltown","IA","70092","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","275249","275249",
"City of Wakeeney, dba: Wakeeney Public Transportation","Wakeeney","KS","70094","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","14600","14600",
"Linn County, dba: Linn County Public Transportation","Mound City","KS","70096","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","18448","18448",
"Licking Bridge Builders Senior Center","Licking","MO","70099","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","7499","7499",
"Stratton Industrial Commission, dba: Hitch & Hay Public Transit","Stratton","NE","70100","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","87876","87876",
"City of Muscatine, dba: MuscaBus","Muscatine","IA","70101","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","319939","319939",
"Decatur County, dba: Decatur County Transportation","Oberlin","KS","70102","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","9545","9545",
"Jefferson County Service Organization, dba: Jefferson County Public Transportation","Oskaloosa","KS","70103","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","21406","21406",
"City of Smith Center, dba: SC Public Transportation Community Connection","Smith Center","KS","70105","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","13157","13157",
"Ray County Transportation, Inc., dba: Direct Transit","Richmond","MO","70106","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24","0","0","49673","49673",
"City of Alliance, dba: Alliance Public Transit","Alliance","NE","70107","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","82978","82978",
"City of Fort Dodge, dba: Dodger Area Rapid Transit","Fort Dodge","IA","70108","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","172531","172531",
"Osage County","Lyndon","KS","70109","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","26723","26723",
"City of Burlington, dba: Burlington Urban Service","Burlington","IA","70111","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","260878","260878",
"Southeast Nebraska Community Action Partnership, dba: Pawnee and Richardson County Public Transportation","Humboldt","NE","70112","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","39420","39420",
"Commmunity Memorial Health Center Burwell, dba: Community Memorial Health Center Transportation","Burwell","NE","70113","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","11362","11362",
"Ripley County Transit, Inc.","Doniphan","MO","70114","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","20780","20780",
"City of Hoisington, dba: Hoisington Public Transportation","Hoisington","KS","70115","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","7178","7178",
"City of Herington, dba: Herington Public Transportation","Herington","KS","70120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","3486","3486",
"Butler County Senior Service Program, dba: Butler County Rural Transit","David City","NE","70121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","25409","25409",
"Pottawatomie County, dba: Pottawatomie County Public Transportation","Westmoreland","KS","70122","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","34201","34201",
"City of Great Bend, dba: Great Bend Transportation","Great Bend","KS","70123","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","28218","28218",
"Oakland Heights, dba: Oakland Public Transit","Oakland","NE","70124","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","12078","12078",
"City of Neligh, dba: City of Neligh Dial-A-Ride","Neligh","NE","70125","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","15440","15440",
"Perkins County Public Transit","Grant","NE","70126","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","16185","16185",
"Ogallala Transit System, dba: Ogallala Public Transportation","Ogallala","NE","70127","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","29388","29388",
"Chase County, dba: Chase County Transit","Imperial","NE","70128","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","44040","44040",
"Siouxland Interstate Metropolitan Planning Council, dba: Siouxland Regional Transit System","Sioux City","IA","70129","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"20","0","0","642742","642742",
"Valley County Hospital, dba: VCHS Public Transit","Ord","NE","70130","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","19931","19931",
"Doniphan County, dba: Doniphan County Public Transportation","Troy","KS","70132","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","23000","23000",
"OATS, Inc., dba: Operating Above the Standard","Columbia","MO","70133","Private-Non-Profit Corporation","Reduced Reporter","2024","77770","St. Louis, MO--IL","2156323","376","0","0","7741615","7741615",
"City of Nevada","Nevada","MO","70134","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","10978","10978",
"Tri-Valley Developmental Services, dba: Tri Valley Public Transportation","Chanute","KS","70135","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","10800","10800",
"Delaware, Dubuque & Jackson County Regional Transit Authority, dba: Region 8 Regional Transit Authority","Dubuque","IA","70136","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15","0","0","481729","481729",
"Sunflower Diversified Services, dba: Sunflower Diversified","Great Bend","KS","70137","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","93893","93893",
"East Central Iowa Council of Governments, dba: Corridor Rides","Cedar Rapids","IA","70138","MPO, COG or Other Planning Agency","Reduced Reporter","2024","41590","Iowa City, IA","126810","27","0","0","275390","275390",
"City of Dodge City, dba: Dodge City Public Transportation","Dodge City","KS","70139","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","113843","113843",
"Mississippi County Transit System, Inc.","East Prairie","MO","70140","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","19781","19781",
"Pratt County, dba: Pratt County General Public Transportation","Pratt","KS","70141","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","16530","16530",
"Hooker Co, dba: Hooker Co Handi Bus","Mullen","NE","70143","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","4479","4479",
"Chase County, dba: Chase County Public Transportation","Cottonwood Falls","KS","70144","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","13992","13992",
"OCCK, Inc.","Salina","KS","70145","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"59","0","0","535078","535078",
"Ottawa County, dba: Ottawa County Public Transportation","Minneapolis","KS","70146","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","17363","17363",
"City of New Madrid","New Madrid","MO","70147","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","9296","9296",
"Saline County Area Transit","Western","NE","70148","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","50056","50056",
"City of Carthage","Carthage","MO","70152","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","14165","14165",
"City of North Platte, dba: North Platte Public Transit","North Platte","NE","70153","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","177587","177587",
"City of West Plains","West Plains","MO","70155","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","16406","16406",
"Community Concern, dba: North Fork Area Transit","Norfolk","NE","70156","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","209715","209715",
"Elk County Council on Aging","Moline","KS","70158","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","21573","21573",
"City of Excelsior Springs","Excelsior Springs","MO","70162","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","15431","15431",
"Paola Senior Citizen Center, Inc., dba: Paola Public Transportation","Paola","KS","70163","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","15759","15759",
"Lancaster Co Rural Transit","Lincoln","NE","70164","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","19192","19192",
"City of Houston, dba: Houston Shuttle","Houston","MO","70165","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","8480","8480",
"Ellsworth County, dba: Ellsworth Council on Aging Public Transportation","Ellsworth","KS","70167","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1","0","0","7130","7130",
"Scott County Transit System, Inc.","Sikeston","MO","70168","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","20035","20035",
"City of Wilson, dba: Wilson Public Transportation","Wilson","KS","70171","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","1007","1007",
"City of Clinton","Clinton","IA","70173","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","294786","294786",
"City of El Dorado Springs","El Dorado Springs","MO","70177","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","10531","10531",
"Lakemary Center, Inc","Paola","KS","70178","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","13572","13572",
"McPherson County, dba: McPherson County Transportation","Mcpherson","KS","70179","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","22775","22775",
"Reno County, dba: Reno County Area Transit","Hutchinson","KS","70180","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","206798","206798",
"City Of Tecumseh, dba: Tecumseh Area Transit","Tecumseh","NE","70181","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","13268","13268",
"Phelps County Senior Citizen, dba: Phelps County Handi Bus","Holdrege","NE","70182","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","27184","27184",
"Scotts Bluff Public Transit, dba: Tri City Roadrunner","Gering","NE","70183","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","226227","226227",
"City of Louisburg, dba: Louisburg Area Senior Citizens Center","Louisburg","KS","70184","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","13309","13309",
"North Iowa Area Council of Governments, dba: Region 2 Transit","Mason City","IA","70185","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"50","0","0","594504","594504",
"Greenwood County, dba: Greenwood County Public Transportation","Eureka","KS","70186","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","15139","15139",
"Twin Rivers Developmental Supports Inc.","Arkansas City","KS","70187","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","13600","13600",
"City of Fremont","Fremont","NE","70188","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","34797","34797",
"City of Clinton","Clinton","MO","70189","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","14395","14395",
"City of Phillipsburg, dba: Phillipsburg General Transportation","Phillipsburg","KS","70191","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","11462","11462",
"Loup City, dba: City of Loup City Handibus","Loup City","NE","70192","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","12092","12092",
"City of Plainview Handivan","Plainview","NE","70193","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","3885","3885",
"Cambridge Memorial Hospital, dba: Tri Valley Public Transportation","Cambridge","NE","70194","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","0","0","79566","79566",
"Northeast Iowa Community Action Corporation, dba: Earl Public Transit","Decorah","IA","70195","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"23","0","0","486446","486446",
"Republic County, dba: Republic County Transportation","Belleville","KS","70196","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","10840","10840",
"Lane County, dba: Lane County Transportation","Dighton","KS","70197","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","4131","4131",
"Harlan Co. Public Transit","Alma","NE","70198","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","10390","10390",
"Logan County, dba: Logan County Public Transportation","Oakley","KS","70199","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1","0","0","7387","7387",
"Kimball County Public Transit","Kimball","NE","70200","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"21","0","0","437023","437023",
"Independence, Inc.","Lawrence","KS","70201","Private-Non-Profit Corporation","Reduced Reporter","2024","48232","Lawrence, KS","94998","5","0","0","0","0",
"Wolf Memorial Good Samaritan Center","Albion","NE","70202","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","7397","7397",
"Morrill County Handi Bus","Bridgeport","NE","70203","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","19531","19531",
"Anderson County, dba: Anderson County Public Transportation","Garnett","KS","70204","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","11281","11281",
"Blue Valley Community Action Partnership, dba: Fillmore County Transit","Geneva","NE","70205","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","30477","30477",
"Kingman County, dba: Kingman County Public Transportation","Kingman","KS","70206","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","21506","21506",
"Marshall County","Marysville","KS","70208","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","34845","34845",
"Four County, dba: Four County Transit","Independence","KS","70209","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24","0","0","246846","246846",
"Rice County, dba: Quivira Transit","Lyons","KS","70210","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","108344","108344",
"City of Lamar","Lamar","MO","70211","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","10731","10731",
"Cedar County Transit","Hartington","NE","70212","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","128778","128778",
"Nemaha County, dba: Nemaha County General Public Transit","Seneca","KS","70213","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","51321","51321",
"City of Columbus Transit","Columbus","NE","70214","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","38736","38736",
"City of Goodland, dba: Goodland Public Transportation","Goodland","KS","70215","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","6168","6168",
"Avera Creighton Hospital, dba: Avera Creighton Hospital Transportation Services","Yankton","SD","70216","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","62317","62317",
"Southeast Iowa Regional Planning Commission, dba: Southeast Iowa Bus","West Burlington","IA","70217","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"25","0","0","641918","641918",
"Wabaunsee County","Alma","KS","70218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","168107","168107",
"Region Six Planning Commission, dba: Peoplerides","Marshalltown","IA","70219","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"13","0","0","298572","298572",
"Avera St.Anthony's Hospital, dba: Avera St. Anthony's Hospital Transportation System","Oneill","NE","70220","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","53628","53628",
"Southern Iowa Trolley","Creston","IA","70221","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","0","0","379340","379340",
"Coffey County","Burlington","KS","70222","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","93100","93100",
"Senior Information Center York, dba: York County Public Transportation","York","NE","70223","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","57334","57334",
"Region 12 Council of Governments, dba: Western Iowa Transit","Carroll","IA","70224","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"49","0","0","334544","334544",
"Franklin County, dba: Franklin County Public Transportation","Ottawa","KS","70225","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","30192","30192",
"Class LTD","Columbus","KS","70226","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","58177","58177",
"City of Liberal, dba: Liberal City Bus","Liberal","KS","70227","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","103401","103401",
